season,sportsbook,type,about,side,line
2021,WSGT,SPREAD,2021_13_NYG_MIA,MIA,-3.5
2021,WSGT,SPREAD,2021_13_NYG_MIA,NYG,3.5
2021,WSGT,TOTAL,2021_13_NYG_MIA,Over,45.5
2021,WSGT,TOTAL,2021_13_NYG_MIA,Under,45.5
2021,WSGT,SPREAD,2021_13_IND_HOU,IND,-7.0
2021,WSGT,SPREAD,2021_13_IND_HOU,HOU,7.0
2021,WSGT,TOTAL,2021_13_IND_HOU,Over,49.0
2021,WSGT,TOTAL,2021_13_IND_HOU,Under,49.0
2021,WSGT,SPREAD,2021_13_MIN_DET,MIN,-4.0
2021,WSGT,SPREAD,2021_13_MIN_DET,DET,4.0
2021,WSGT,TOTAL,2021_13_MIN_DET,Over,46.0
2021,WSGT,TOTAL,2021_13_MIN_DET,Under,46.0
2021,WSGT,SPREAD,2021_13_PHI_NYJ,NYJ,-1.5
2021,WSGT,SPREAD,2021_13_PHI_NYJ,PHI,1.5
2021,WSGT,TOTAL,2021_13_PHI_NYJ,Over,45.0
2021,WSGT,TOTAL,2021_13_PHI_NYJ,Under,45.0
2021,WSGT,SPREAD,2021_13_DEN_KC,KC,-9.5
2021,WSGT,SPREAD,2021_13_DEN_KC,DEN,9.5
2021,WSGT,TOTAL,2021_13_DEN_KC,Over,50.0
2021,WSGT,TOTAL,2021_13_DEN_KC,Under,50.0
2021,WSGT,SPREAD,2021_13_ARI_CHI,ARI,-1.5
2021,WSGT,SPREAD,2021_13_ARI_CHI,CHI,1.5
2021,WSGT,TOTAL,2021_13_ARI_CHI,Over,46.0
2021,WSGT,TOTAL,2021_13_ARI_CHI,Under,46.0
2021,WSGT,SPREAD,2021_13_LAC_CIN,LAC,-2.5
2021,WSGT,SPREAD,2021_13_LAC_CIN,CIN,2.5
2021,WSGT,TOTAL,2021_13_LAC_CIN,Over,46.5
2021,WSGT,TOTAL,2021_13_LAC_CIN,Under,46.5
2021,WSGT,SPREAD,2021_13_TB_ATL,TB,-4.5
2021,WSGT,SPREAD,2021_13_TB_ATL,ATL,4.5
2021,WSGT,TOTAL,2021_13_TB_ATL,Over,52.0
2021,WSGT,TOTAL,2021_13_TB_ATL,Under,52.0
2021,WSGT,SPREAD,2021_13_WAS_LV,LV,-2.5
2021,WSGT,SPREAD,2021_13_WAS_LV,WAS,2.5
2021,WSGT,TOTAL,2021_13_WAS_LV,Over,47.5
2021,WSGT,TOTAL,2021_13_WAS_LV,Under,47.5
2021,WSGT,SPREAD,2021_13_JAX_LA,LA,-9.5
2021,WSGT,SPREAD,2021_13_JAX_LA,JAX,9.5
2021,WSGT,TOTAL,2021_13_JAX_LA,Over,47.0
2021,WSGT,TOTAL,2021_13_JAX_LA,Under,47.0
2021,WSGT,SPREAD,2021_13_BAL_PIT,BAL,-2.5
2021,WSGT,SPREAD,2021_13_BAL_PIT,PIT,2.5
2021,WSGT,TOTAL,2021_13_BAL_PIT,Over,45.5
2021,WSGT,TOTAL,2021_13_BAL_PIT,Under,45.5
2021,WSGT,SPREAD,2021_13_SF_SEA,SEA,-1.5
2021,WSGT,SPREAD,2021_13_SF_SEA,SF,1.5
2021,WSGT,TOTAL,2021_13_SF_SEA,Over,45.5
2021,WSGT,TOTAL,2021_13_SF_SEA,Under,45.5
2021,WSGT,SPREAD,2021_13_NE_BUF,BUF,-7.0
2021,WSGT,SPREAD,2021_13_NE_BUF,NE,7.0
2021,WSGT,TOTAL,2021_13_NE_BUF,Over,48.0
2021,WSGT,TOTAL,2021_13_NE_BUF,Under,48.0
2021,WSGT,SPREAD,2021_14_PIT_MIN,MIN,-2.5
2021,WSGT,SPREAD,2021_14_PIT_MIN,PIT,2.5
2021,WSGT,TOTAL,2021_14_PIT_MIN,Over,46.5
2021,WSGT,TOTAL,2021_14_PIT_MIN,Under,46.5
2021,WSGT,SPREAD,2021_14_DAL_WAS,WAS,-1.5
2021,WSGT,SPREAD,2021_14_DAL_WAS,DAL,1.5
2021,WSGT,TOTAL,2021_14_DAL_WAS,Over,47.5
2021,WSGT,TOTAL,2021_14_DAL_WAS,Under,47.5
2021,WSGT,SPREAD,2021_14_SF_CIN,SF,-3.5
2021,WSGT,SPREAD,2021_14_SF_CIN,CIN,3.5
2021,WSGT,TOTAL,2021_14_SF_CIN,Over,46.0
2021,WSGT,TOTAL,2021_14_SF_CIN,Under,46.0
2021,WSGT,SPREAD,2021_14_JAX_TEN,TEN,-6.0
2021,WSGT,SPREAD,2021_14_JAX_TEN,JAX,6.0
2021,WSGT,TOTAL,2021_14_JAX_TEN,Over,51.5
2021,WSGT,TOTAL,2021_14_JAX_TEN,Under,51.5
2021,WSGT,SPREAD,2021_14_SEA_HOU,SEA,-7.0
2021,WSGT,SPREAD,2021_14_SEA_HOU,HOU,7.0
2021,WSGT,TOTAL,2021_14_SEA_HOU,Over,48.5
2021,WSGT,TOTAL,2021_14_SEA_HOU,Under,48.5
2021,WSGT,SPREAD,2021_14_LV_KC,KC,-10.5
2021,WSGT,SPREAD,2021_14_LV_KC,LV,10.5
2021,WSGT,TOTAL,2021_14_LV_KC,Over,53.0
2021,WSGT,TOTAL,2021_14_LV_KC,Under,53.0
2021,WSGT,SPREAD,2021_14_NO_NYJ,NO,-3.0
2021,WSGT,SPREAD,2021_14_NO_NYJ,NYJ,3.0
2021,WSGT,TOTAL,2021_14_NO_NYJ,Over,46.5
2021,WSGT,TOTAL,2021_14_NO_NYJ,Under,46.5
2021,WSGT,SPREAD,2021_14_ATL_CAR,CAR,-1.5
2021,WSGT,SPREAD,2021_14_ATL_CAR,ATL,1.5
2021,WSGT,TOTAL,2021_14_ATL_CAR,Over,48.5
2021,WSGT,TOTAL,2021_14_ATL_CAR,Under,48.5
2021,WSGT,SPREAD,2021_14_BAL_CLE,CLE,-2.5
2021,WSGT,SPREAD,2021_14_BAL_CLE,BAL,2.5
2021,WSGT,TOTAL,2021_14_BAL_CLE,Over,46.5
2021,WSGT,TOTAL,2021_14_BAL_CLE,Under,46.5
2021,WSGT,SPREAD,2021_14_NYG_LAC,LAC,-6.0
2021,WSGT,SPREAD,2021_14_NYG_LAC,NYG,6.0
2021,WSGT,TOTAL,2021_14_NYG_LAC,Over,47.0
2021,WSGT,TOTAL,2021_14_NYG_LAC,Under,47.0
2021,WSGT,SPREAD,2021_14_DET_DEN,DEN,-7.5
2021,WSGT,SPREAD,2021_14_DET_DEN,DET,7.5
2021,WSGT,TOTAL,2021_14_DET_DEN,Over,43.5
2021,WSGT,TOTAL,2021_14_DET_DEN,Under,43.5
2021,WSGT,SPREAD,2021_14_BUF_TB,TB,-4.0
2021,WSGT,SPREAD,2021_14_BUF_TB,BUF,4.0
2021,WSGT,TOTAL,2021_14_BUF_TB,Over,53.5
2021,WSGT,TOTAL,2021_14_BUF_TB,Under,53.5
2021,WSGT,SPREAD,2021_14_CHI_GB,GB,-5.5
2021,WSGT,SPREAD,2021_14_CHI_GB,CHI,5.5
2021,WSGT,TOTAL,2021_14_CHI_GB,Over,45.5
2021,WSGT,TOTAL,2021_14_CHI_GB,Under,45.5
2021,WSGT,SPREAD,2021_14_LA_ARI,LA,-2.5
2021,WSGT,SPREAD,2021_14_LA_ARI,ARI,2.5
2021,WSGT,TOTAL,2021_14_LA_ARI,Over,48.0
2021,WSGT,TOTAL,2021_14_LA_ARI,Under,48.0
2021,WSGT,SPREAD,2021_15_KC_LAC,KC,-6.5
2021,WSGT,SPREAD,2021_15_KC_LAC,LAC,6.5
2021,WSGT,TOTAL,2021_15_KC_LAC,Over,52.0
2021,WSGT,TOTAL,2021_15_KC_LAC,Under,52.0
2021,WSGT,SPREAD,2021_15_NYJ_MIA,MIA,-6.5
2021,WSGT,SPREAD,2021_15_NYJ_MIA,NYJ,6.5
2021,WSGT,TOTAL,2021_15_NYJ_MIA,Over,45.5
2021,WSGT,TOTAL,2021_15_NYJ_MIA,Under,45.5
2021,WSGT,SPREAD,2021_15_WAS_PHI,PHI,-1.5
2021,WSGT,SPREAD,2021_15_WAS_PHI,WAS,1.5
2021,WSGT,TOTAL,2021_15_WAS_PHI,Over,46.0
2021,WSGT,TOTAL,2021_15_WAS_PHI,Under,46.0
2021,WSGT,SPREAD,2021_15_LV_CLE,CLE,-6.5
2021,WSGT,SPREAD,2021_15_LV_CLE,LV,6.5
2021,WSGT,TOTAL,2021_15_LV_CLE,Over,50.0
2021,WSGT,TOTAL,2021_15_LV_CLE,Under,50.0
2021,WSGT,SPREAD,2021_15_CAR_BUF,BUF,-9.5
2021,WSGT,SPREAD,2021_15_CAR_BUF,CAR,9.5
2021,WSGT,TOTAL,2021_15_CAR_BUF,Over,49.0
2021,WSGT,TOTAL,2021_15_CAR_BUF,Under,49.0
2021,WSGT,SPREAD,2021_15_NE_IND,IND,-5.5
2021,WSGT,SPREAD,2021_15_NE_IND,NE,5.5
2021,WSGT,TOTAL,2021_15_NE_IND,Over,48.0
2021,WSGT,TOTAL,2021_15_NE_IND,Under,48.0
2021,WSGT,SPREAD,2021_15_DAL_NYG,DAL,-1.0
2021,WSGT,SPREAD,2021_15_DAL_NYG,NYG,1.0
2021,WSGT,TOTAL,2021_15_DAL_NYG,Over,47.0
2021,WSGT,TOTAL,2021_15_DAL_NYG,Under,47.0
2021,WSGT,SPREAD,2021_15_HOU_JAX,JAX,-4.0
2021,WSGT,SPREAD,2021_15_HOU_JAX,HOU,4.0
2021,WSGT,TOTAL,2021_15_HOU_JAX,Over,46.0
2021,WSGT,TOTAL,2021_15_HOU_JAX,Under,46.0
2021,WSGT,SPREAD,2021_15_TEN_PIT,PIT,-3.0
2021,WSGT,SPREAD,2021_15_TEN_PIT,TEN,3.0
2021,WSGT,TOTAL,2021_15_TEN_PIT,Over,47.0
2021,WSGT,TOTAL,2021_15_TEN_PIT,Under,47.0
2021,WSGT,SPREAD,2021_15_GB_BAL,BAL,-5.5
2021,WSGT,SPREAD,2021_15_GB_BAL,GB,5.5
2021,WSGT,TOTAL,2021_15_GB_BAL,Over,47.0
2021,WSGT,TOTAL,2021_15_GB_BAL,Under,47.0
2021,WSGT,SPREAD,2021_15_ARI_DET,ARI,-6.5
2021,WSGT,SPREAD,2021_15_ARI_DET,DET,6.5
2021,WSGT,TOTAL,2021_15_ARI_DET,Over,47.0
2021,WSGT,TOTAL,2021_15_ARI_DET,Under,47.0
2021,WSGT,SPREAD,2021_15_CIN_DEN,DEN,-5.5
2021,WSGT,SPREAD,2021_15_CIN_DEN,CIN,5.5
2021,WSGT,TOTAL,2021_15_CIN_DEN,Over,45.0
2021,WSGT,TOTAL,2021_15_CIN_DEN,Under,45.0
2021,WSGT,SPREAD,2021_15_ATL_SF,SF,-8.5
2021,WSGT,SPREAD,2021_15_ATL_SF,ATL,8.5
2021,WSGT,TOTAL,2021_15_ATL_SF,Over,46.5
2021,WSGT,TOTAL,2021_15_ATL_SF,Under,46.5
2021,WSGT,SPREAD,2021_15_SEA_LA,LA,-4.0
2021,WSGT,SPREAD,2021_15_SEA_LA,SEA,4.0
2021,WSGT,TOTAL,2021_15_SEA_LA,Over,48.0
2021,WSGT,TOTAL,2021_15_SEA_LA,Under,48.0
2021,WSGT,SPREAD,2021_15_NO_TB,TB,-7.0
2021,WSGT,SPREAD,2021_15_NO_TB,NO,7.0
2021,WSGT,TOTAL,2021_15_NO_TB,Over,52.0
2021,WSGT,TOTAL,2021_15_NO_TB,Under,52.0
2021,WSGT,SPREAD,2021_15_MIN_CHI,MIN,-1.0
2021,WSGT,SPREAD,2021_15_MIN_CHI,CHI,1.0
2021,WSGT,TOTAL,2021_15_MIN_CHI,Over,42.5
2021,WSGT,TOTAL,2021_15_MIN_CHI,Under,42.5
2021,WSGT,SPREAD,2021_16_SF_TEN,SF,-2.0
2021,WSGT,SPREAD,2021_16_SF_TEN,TEN,2.0
2021,WSGT,TOTAL,2021_16_SF_TEN,Over,46.5
2021,WSGT,TOTAL,2021_16_SF_TEN,Under,46.5
2021,WSGT,SPREAD,2021_16_CLE_GB,CLE,0.0
2021,WSGT,SPREAD,2021_16_CLE_GB,GB,0.0
2021,WSGT,TOTAL,2021_16_CLE_GB,Over,45.0
2021,WSGT,TOTAL,2021_16_CLE_GB,Under,45.0
2021,WSGT,SPREAD,2021_16_IND_ARI,ARI,-1.0
2021,WSGT,SPREAD,2021_16_IND_ARI,IND,1.0
2021,WSGT,TOTAL,2021_16_IND_ARI,Over,50.0
2021,WSGT,TOTAL,2021_16_IND_ARI,Under,50.0
2021,WSGT,SPREAD,2021_16_NYG_PHI,PHI,-1.5
2021,WSGT,SPREAD,2021_16_NYG_PHI,NYG,1.5
2021,WSGT,TOTAL,2021_16_NYG_PHI,Over,46.0
2021,WSGT,TOTAL,2021_16_NYG_PHI,Under,46.0
2021,WSGT,SPREAD,2021_16_LA_MIN,LA,-2.5
2021,WSGT,SPREAD,2021_16_LA_MIN,MIN,2.5
2021,WSGT,TOTAL,2021_16_LA_MIN,Over,48.0
2021,WSGT,TOTAL,2021_16_LA_MIN,Under,48.0
2021,WSGT,SPREAD,2021_16_BUF_NE,BUF,-3.5
2021,WSGT,SPREAD,2021_16_BUF_NE,NE,3.5
2021,WSGT,TOTAL,2021_16_BUF_NE,Over,47.5
2021,WSGT,TOTAL,2021_16_BUF_NE,Under,47.5
2021,WSGT,SPREAD,2021_16_TB_CAR,TB,-6.5
2021,WSGT,SPREAD,2021_16_TB_CAR,CAR,6.5
2021,WSGT,TOTAL,2021_16_TB_CAR,Over,51.0
2021,WSGT,TOTAL,2021_16_TB_CAR,Under,51.0
2021,WSGT,SPREAD,2021_16_JAX_NYJ,NYJ,-1.5
2021,WSGT,SPREAD,2021_16_JAX_NYJ,JAX,1.5
2021,WSGT,TOTAL,2021_16_JAX_NYJ,Over,44.5
2021,WSGT,TOTAL,2021_16_JAX_NYJ,Under,44.5
2021,WSGT,SPREAD,2021_16_DET_ATL,ATL,-7.5
2021,WSGT,SPREAD,2021_16_DET_ATL,DET,7.5
2021,WSGT,TOTAL,2021_16_DET_ATL,Over,49.0
2021,WSGT,TOTAL,2021_16_DET_ATL,Under,49.0
2021,WSGT,SPREAD,2021_16_LAC_HOU,LAC,-4.5
2021,WSGT,SPREAD,2021_16_LAC_HOU,HOU,4.5
2021,WSGT,TOTAL,2021_16_LAC_HOU,Over,47.0
2021,WSGT,TOTAL,2021_16_LAC_HOU,Under,47.0
2021,WSGT,SPREAD,2021_16_BAL_CIN,BAL,-6.5
2021,WSGT,SPREAD,2021_16_BAL_CIN,CIN,6.5
2021,WSGT,TOTAL,2021_16_BAL_CIN,Over,47.5
2021,WSGT,TOTAL,2021_16_BAL_CIN,Under,47.5
2021,WSGT,SPREAD,2021_16_CHI_SEA,SEA,-5.5
2021,WSGT,SPREAD,2021_16_CHI_SEA,CHI,5.5
2021,WSGT,TOTAL,2021_16_CHI_SEA,Over,45.0
2021,WSGT,TOTAL,2021_16_CHI_SEA,Under,45.0
2021,WSGT,SPREAD,2021_16_PIT_KC,KC,-8.5
2021,WSGT,SPREAD,2021_16_PIT_KC,PIT,8.5
2021,WSGT,TOTAL,2021_16_PIT_KC,Over,50.0
2021,WSGT,TOTAL,2021_16_PIT_KC,Under,50.0
2021,WSGT,SPREAD,2021_16_DEN_LV,LV,-2.5
2021,WSGT,SPREAD,2021_16_DEN_LV,DEN,2.5
2021,WSGT,TOTAL,2021_16_DEN_LV,Over,47.0
2021,WSGT,TOTAL,2021_16_DEN_LV,Under,47.0
2021,WSGT,SPREAD,2021_16_WAS_DAL,DAL,-5.5
2021,WSGT,SPREAD,2021_16_WAS_DAL,WAS,5.5
2021,WSGT,TOTAL,2021_16_WAS_DAL,Over,48.0
2021,WSGT,TOTAL,2021_16_WAS_DAL,Under,48.0
2021,WSGT,SPREAD,2021_16_MIA_NO,NO,-3.5
2021,WSGT,SPREAD,2021_16_MIA_NO,MIA,3.5
2021,WSGT,TOTAL,2021_16_MIA_NO,Over,46.5
2021,WSGT,TOTAL,2021_16_MIA_NO,Under,46.5
2021,WSGT,SPREAD,2021_17_PHI_WAS,WAS,-3.0
2021,WSGT,SPREAD,2021_17_PHI_WAS,PHI,3.0
2021,WSGT,TOTAL,2021_17_PHI_WAS,Over,44.5
2021,WSGT,TOTAL,2021_17_PHI_WAS,Under,44.5
2021,WSGT,SPREAD,2021_17_CAR_NO,NO,-6.5
2021,WSGT,SPREAD,2021_17_CAR_NO,CAR,6.5
2021,WSGT,TOTAL,2021_17_CAR_NO,Over,48.0
2021,WSGT,TOTAL,2021_17_CAR_NO,Under,48.0
2021,WSGT,SPREAD,2021_17_TB_NYJ,TB,-8.5
2021,WSGT,SPREAD,2021_17_TB_NYJ,NYJ,8.5
2021,WSGT,TOTAL,2021_17_TB_NYJ,Over,47.0
2021,WSGT,TOTAL,2021_17_TB_NYJ,Under,47.0
2021,WSGT,SPREAD,2021_17_MIA_TEN,TEN,-3.0
2021,WSGT,SPREAD,2021_17_MIA_TEN,MIA,3.0
2021,WSGT,TOTAL,2021_17_MIA_TEN,Over,47.0
2021,WSGT,TOTAL,2021_17_MIA_TEN,Under,47.0
2021,WSGT,SPREAD,2021_17_JAX_NE,NE,-5.5
2021,WSGT,SPREAD,2021_17_JAX_NE,JAX,5.5
2021,WSGT,TOTAL,2021_17_JAX_NE,Over,43.5
2021,WSGT,TOTAL,2021_17_JAX_NE,Under,43.5
2021,WSGT,SPREAD,2021_17_LV_IND,IND,-6.0
2021,WSGT,SPREAD,2021_17_LV_IND,LV,6.0
2021,WSGT,TOTAL,2021_17_LV_IND,Over,49.5
2021,WSGT,TOTAL,2021_17_LV_IND,Under,49.5
2021,WSGT,SPREAD,2021_17_KC_CIN,KC,-7.5
2021,WSGT,SPREAD,2021_17_KC_CIN,CIN,7.5
2021,WSGT,TOTAL,2021_17_KC_CIN,Over,49.5
2021,WSGT,TOTAL,2021_17_KC_CIN,Under,49.5
2021,WSGT,SPREAD,2021_17_NYG_CHI,CHI,-2.0
2021,WSGT,SPREAD,2021_17_NYG_CHI,NYG,2.0
2021,WSGT,TOTAL,2021_17_NYG_CHI,Over,42.0
2021,WSGT,TOTAL,2021_17_NYG_CHI,Under,42.0
2021,WSGT,SPREAD,2021_17_ATL_BUF,BUF,-8.5
2021,WSGT,SPREAD,2021_17_ATL_BUF,ATL,8.5
2021,WSGT,TOTAL,2021_17_ATL_BUF,Over,49.0
2021,WSGT,TOTAL,2021_17_ATL_BUF,Under,49.0
2021,WSGT,SPREAD,2021_17_ARI_DAL,DAL,-1.5
2021,WSGT,SPREAD,2021_17_ARI_DAL,ARI,1.5
2021,WSGT,TOTAL,2021_17_ARI_DAL,Over,52.0
2021,WSGT,TOTAL,2021_17_ARI_DAL,Under,52.0
2021,WSGT,SPREAD,2021_17_HOU_SF,SF,-13.5
2021,WSGT,SPREAD,2021_17_HOU_SF,HOU,13.5
2021,WSGT,TOTAL,2021_17_HOU_SF,Over,46.0
2021,WSGT,TOTAL,2021_17_HOU_SF,Under,46.0
2021,WSGT,SPREAD,2021_17_DEN_LAC,LAC,-3.0
2021,WSGT,SPREAD,2021_17_DEN_LAC,DEN,3.0
2021,WSGT,TOTAL,2021_17_DEN_LAC,Over,45.0
2021,WSGT,TOTAL,2021_17_DEN_LAC,Under,45.0
2021,WSGT,SPREAD,2021_17_LA_BAL,BAL,-3.0
2021,WSGT,SPREAD,2021_17_LA_BAL,LA,3.0
2021,WSGT,TOTAL,2021_17_LA_BAL,Over,42.5
2021,WSGT,TOTAL,2021_17_LA_BAL,Under,42.5
2021,WSGT,SPREAD,2021_17_DET_SEA,SEA,-9.5
2021,WSGT,SPREAD,2021_17_DET_SEA,DET,9.5
2021,WSGT,TOTAL,2021_17_DET_SEA,Over,45.0
2021,WSGT,TOTAL,2021_17_DET_SEA,Under,45.0
2021,WSGT,SPREAD,2021_17_MIN_GB,GB,-3.0
2021,WSGT,SPREAD,2021_17_MIN_GB,MIN,3.0
2021,WSGT,TOTAL,2021_17_MIN_GB,Over,42.5
2021,WSGT,TOTAL,2021_17_MIN_GB,Under,42.5
2021,WSGT,SPREAD,2021_17_CLE_PIT,CLE,0.0
2021,WSGT,SPREAD,2021_17_CLE_PIT,PIT,0.0
2021,WSGT,TOTAL,2021_17_CLE_PIT,Over,43.5
2021,WSGT,TOTAL,2021_17_CLE_PIT,Under,43.5
2021,WSGT,SPREAD,2021_18_DAL_PHI,DAL,-2.5
2021,WSGT,SPREAD,2021_18_DAL_PHI,PHI,2.5
2021,WSGT,TOTAL,2021_18_DAL_PHI,Over,43.5
2021,WSGT,TOTAL,2021_18_DAL_PHI,Under,43.5
2021,WSGT,SPREAD,2021_18_GB_DET,GB,-3.5
2021,WSGT,SPREAD,2021_18_GB_DET,DET,3.5
2021,WSGT,TOTAL,2021_18_GB_DET,Over,45.5
2021,WSGT,TOTAL,2021_18_GB_DET,Under,45.5
2021,WSGT,SPREAD,2021_18_IND_JAX,IND,-3.0
2021,WSGT,SPREAD,2021_18_IND_JAX,JAX,3.0
2021,WSGT,TOTAL,2021_18_IND_JAX,Over,48.0
2021,WSGT,TOTAL,2021_18_IND_JAX,Under,48.0
2021,WSGT,SPREAD,2021_18_WAS_NYG,NYG,-1.5
2021,WSGT,SPREAD,2021_18_WAS_NYG,WAS,1.5
2021,WSGT,TOTAL,2021_18_WAS_NYG,Over,42.5
2021,WSGT,TOTAL,2021_18_WAS_NYG,Under,42.5
2021,WSGT,SPREAD,2021_18_CHI_MIN,MIN,-4.0
2021,WSGT,SPREAD,2021_18_CHI_MIN,CHI,4.0
2021,WSGT,TOTAL,2021_18_CHI_MIN,Over,45.5
2021,WSGT,TOTAL,2021_18_CHI_MIN,Under,45.5
2021,WSGT,SPREAD,2021_18_CAR_TB,TB,-6.5
2021,WSGT,SPREAD,2021_18_CAR_TB,CAR,6.5
2021,WSGT,TOTAL,2021_18_CAR_TB,Over,47.5
2021,WSGT,TOTAL,2021_18_CAR_TB,Under,47.5
2021,WSGT,SPREAD,2021_18_NE_MIA,MIA,-2.5
2021,WSGT,SPREAD,2021_18_NE_MIA,NE,2.5
2021,WSGT,TOTAL,2021_18_NE_MIA,Over,44.0
2021,WSGT,TOTAL,2021_18_NE_MIA,Under,44.0
2021,WSGT,SPREAD,2021_18_NO_ATL,ATL,-1.0
2021,WSGT,SPREAD,2021_18_NO_ATL,NO,1.0
2021,WSGT,TOTAL,2021_18_NO_ATL,Over,48.0
2021,WSGT,TOTAL,2021_18_NO_ATL,Under,48.0
2021,WSGT,SPREAD,2021_18_TEN_HOU,TEN,-6.0
2021,WSGT,SPREAD,2021_18_TEN_HOU,HOU,6.0
2021,WSGT,TOTAL,2021_18_TEN_HOU,Over,47.0
2021,WSGT,TOTAL,2021_18_TEN_HOU,Under,47.0
2021,WSGT,SPREAD,2021_18_PIT_BAL,BAL,-5.5
2021,WSGT,SPREAD,2021_18_PIT_BAL,PIT,5.5
2021,WSGT,TOTAL,2021_18_PIT_BAL,Over,44.0
2021,WSGT,TOTAL,2021_18_PIT_BAL,Under,44.0
2021,WSGT,SPREAD,2021_18_NYJ_BUF,BUF,-6.5
2021,WSGT,SPREAD,2021_18_NYJ_BUF,NYJ,6.5
2021,WSGT,TOTAL,2021_18_NYJ_BUF,Over,44.5
2021,WSGT,TOTAL,2021_18_NYJ_BUF,Under,44.5
2021,WSGT,SPREAD,2021_18_CIN_CLE,CLE,-6.5
2021,WSGT,SPREAD,2021_18_CIN_CLE,CIN,6.5
2021,WSGT,TOTAL,2021_18_CIN_CLE,Over,43.0
2021,WSGT,TOTAL,2021_18_CIN_CLE,Under,43.0
2021,WSGT,SPREAD,2021_18_LAC_LV,LV,-1.5
2021,WSGT,SPREAD,2021_18_LAC_LV,LAC,1.5
2021,WSGT,TOTAL,2021_18_LAC_LV,Over,48.5
2021,WSGT,TOTAL,2021_18_LAC_LV,Under,48.5
2021,WSGT,SPREAD,2021_18_SF_LA,LA,-3.0
2021,WSGT,SPREAD,2021_18_SF_LA,SF,3.0
2021,WSGT,TOTAL,2021_18_SF_LA,Over,44.5
2021,WSGT,TOTAL,2021_18_SF_LA,Under,44.5
2021,WSGT,SPREAD,2021_18_KC_DEN,KC,-3.0
2021,WSGT,SPREAD,2021_18_KC_DEN,DEN,3.0
2021,WSGT,TOTAL,2021_18_KC_DEN,Over,45.5
2021,WSGT,TOTAL,2021_18_KC_DEN,Under,45.5
2021,WSGT,SPREAD,2021_18_SEA_ARI,ARI,-2.0
2021,WSGT,SPREAD,2021_18_SEA_ARI,SEA,2.0
2021,WSGT,TOTAL,2021_18_SEA_ARI,Over,49.0
2021,WSGT,TOTAL,2021_18_SEA_ARI,Under,49.0
