season,team,nfl,nfl_team_id,espn,pfr,pff,pfflabel,fo,full,location,short_location,nickname,hyphenated,sbr,sbr_wins,sbr_name,draft_kings
2002,ARI,ARI,3800,ARI,CRD,,,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,arizona-cardinals,1549,,,
2002,ATL,ATL,0200,ATL,ATL,,,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,atlanta-falcons,1546,,,
2002,BAL,BAL,0325,BAL,RAV,,,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,baltimore-ravens,1521,,,
2002,BUF,BUF,0610,BUF,BUF,,,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,buffalo-bills,1526,,,
2002,CAR,CAR,0750,CAR,CAR,,,CAR,Carolina Panthers,Carolina,Carolina,Panthers,carolina-panthers,1545,,,
2002,CHI,CHI,0810,CHI,CHI,,,CHI,Chicago Bears,Chicago,Chicago,Bears,chicago-bears,1540,,,
2002,CIN,CIN,0920,CIN,CIN,,,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,cincinnati-bengals,1522,,,
2002,CLE,CLE,1050,CLE,CLE,,,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,cleveland-browns,1520,,,
2002,DAL,DAL,1200,DAL,DAL,,,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,dallas-cowboys,1538,,,
2002,DEN,DEN,1400,DEN,DEN,,,DEN,Denver Broncos,Denver,Denver,Broncos,denver-broncos,1534,,,
2002,DET,DET,1540,DET,DET,,,DET,Detroit Lions,Detroit,Detroit,Lions,detroit-lions,1539,,,
2002,GB,GB,1800,GB,GNB,,,GB,Green Bay Packers,Green Bay,Green Bay,Packers,green-bay-packers,1542,,,
2002,HOU,HOU,2120,HOU,HTX,,,HOU,Houston Texans,Houston,Houston,Texans,houston-texans,1530,,,
2002,IND,IND,2200,IND,CLT,,,IND,Indianapolis Colts,Indianapolis,Indianapolis,Colts,indianapolis-colts,1527,,,
2002,JAX,JAC,2250,JAX,JAX,,,JAC,Jacksonville Jaguars,Jacksonville,Jacksonville,Jaguars,jacksonville-jaguars,1529,,,
2002,KC,KC,2310,KC,KAN,,,KC,Kansas City Chiefs,Kansas City,Kansas City,Chiefs,kansas-city-chiefs,1531,,,
2002,MIA,MIA,2700,MIA,MIA,,,MIA,Miami Dolphins,Miami,Miami,Dolphins,miami-dolphins,1524,,,
2002,MIN,MIN,3000,MIN,MIN,,,MIN,Minnesota Vikings,Minnesota,Minnesota,Vikings,minnesota-vikings,1541,,,
2002,NE,NE,3200,NE,NWE,,,NE,New England Patriots,New England,New England,Patriots,new-england-patriots,1525,,,
2002,NO,NO,3300,NO,NOR,,,NO,New Orleans Saints,New Orleans,New Orleans,Saints,new-orleans-saints,1543,,,
2002,NYG,NYG,3410,NYG,NYG,,,NYG,New York Giants,New York Giants,NY Giants,Giants,new-york-giants,1535,,,
2002,NYJ,NYJ,3430,NYJ,NYJ,,,NYJ,New York Jets,New York Jets,NY Jets,Jets,new-york-jets,1523,,,
2002,OAK,OAK,2520,OAK,RAI,,,OAK,Oakland Raiders,Oakland,Oakland,Raiders,oakland-raiders,1533,,,
2002,PHI,PHI,3700,PHI,PHI,,,PHI,Philadelphia Eagles,Philadelphia,Philadelphia,Eagles,philadelphia-eagles,1536,,,
2002,PIT,PIT,3900,PIT,PIT,,,PIT,Pittsburgh Steelers,Pittsburgh,Pittsburgh,Steelers,pittsburgh-steelers,1519,,,
2002,SD,SD,4400,SD,SDG,,,SD,San Diego Chargers,San Diego,San Diego,Chargers,san-diego-chargers,1532,,,
2002,SEA,SEA,4600,SEA,SEA,,,SEA,Seattle Seahawks,Seattle,Seattle,Seahawks,seattle-seahawks,1548,,,
2002,SF,SF,4500,SF,SFO,,,SF,San Francisco 49ers,San Francisco,San Francisco,49ers,san-francisco-49ers,1547,,,
2002,STL,STL,2510,STL,RAM,,,STL,St Louis Rams,St Louis,St Louis,Rams,st-louis-rams,1550,,,
2002,TB,TB,4900,TB,TAM,,,TB,Tampa Bay Buccaneers,Tampa Bay,Tampa Bay,Buccaneers,tampa-bay-buccaneers,1544,,,
2002,TEN,TEN,2100,TEN,OTI,,,TEN,Tennessee Titans,Tennessee,Tennessee,Titans,tennessee-titans,1528,,,
2002,WAS,WAS,5110,WSH,WAS,,,WAS,Washington Redskins,Washington,Washington,Redskins,washington-redskins,1537,,,
2003,ARI,ARI,3800,ARI,CRD,,,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,arizona-cardinals,1549,,,
2003,ATL,ATL,0200,ATL,ATL,,,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,atlanta-falcons,1546,,,
2003,BAL,BAL,0325,BAL,RAV,,,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,baltimore-ravens,1521,,,
2003,BUF,BUF,0610,BUF,BUF,,,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,buffalo-bills,1526,,,
2003,CAR,CAR,0750,CAR,CAR,,,CAR,Carolina Panthers,Carolina,Carolina,Panthers,carolina-panthers,1545,,,
2003,CHI,CHI,0810,CHI,CHI,,,CHI,Chicago Bears,Chicago,Chicago,Bears,chicago-bears,1540,,,
2003,CIN,CIN,0920,CIN,CIN,,,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,cincinnati-bengals,1522,,,
2003,CLE,CLE,1050,CLE,CLE,,,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,cleveland-browns,1520,,,
2003,DAL,DAL,1200,DAL,DAL,,,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,dallas-cowboys,1538,,,
2003,DEN,DEN,1400,DEN,DEN,,,DEN,Denver Broncos,Denver,Denver,Broncos,denver-broncos,1534,,,
2003,DET,DET,1540,DET,DET,,,DET,Detroit Lions,Detroit,Detroit,Lions,detroit-lions,1539,,,
2003,GB,GB,1800,GB,GNB,,,GB,Green Bay Packers,Green Bay,Green Bay,Packers,green-bay-packers,1542,,,
2003,HOU,HOU,2120,HOU,HTX,,,HOU,Houston Texans,Houston,Houston,Texans,houston-texans,1530,,,
2003,IND,IND,2200,IND,CLT,,,IND,Indianapolis Colts,Indianapolis,Indianapolis,Colts,indianapolis-colts,1527,,,
2003,JAX,JAC,2250,JAX,JAX,,,JAC,Jacksonville Jaguars,Jacksonville,Jacksonville,Jaguars,jacksonville-jaguars,1529,,,
2003,KC,KC,2310,KC,KAN,,,KC,Kansas City Chiefs,Kansas City,Kansas City,Chiefs,kansas-city-chiefs,1531,,,
2003,MIA,MIA,2700,MIA,MIA,,,MIA,Miami Dolphins,Miami,Miami,Dolphins,miami-dolphins,1524,,,
2003,MIN,MIN,3000,MIN,MIN,,,MIN,Minnesota Vikings,Minnesota,Minnesota,Vikings,minnesota-vikings,1541,,,
2003,NE,NE,3200,NE,NWE,,,NE,New England Patriots,New England,New England,Patriots,new-england-patriots,1525,,,
2003,NO,NO,3300,NO,NOR,,,NO,New Orleans Saints,New Orleans,New Orleans,Saints,new-orleans-saints,1543,,,
2003,NYG,NYG,3410,NYG,NYG,,,NYG,New York Giants,New York Giants,NY Giants,Giants,new-york-giants,1535,,,
2003,NYJ,NYJ,3430,NYJ,NYJ,,,NYJ,New York Jets,New York Jets,NY Jets,Jets,new-york-jets,1523,,,
2003,OAK,OAK,2520,OAK,RAI,,,OAK,Oakland Raiders,Oakland,Oakland,Raiders,oakland-raiders,1533,,,
2003,PHI,PHI,3700,PHI,PHI,,,PHI,Philadelphia Eagles,Philadelphia,Philadelphia,Eagles,philadelphia-eagles,1536,,,
2003,PIT,PIT,3900,PIT,PIT,,,PIT,Pittsburgh Steelers,Pittsburgh,Pittsburgh,Steelers,pittsburgh-steelers,1519,,,
2003,SD,SD,4400,SD,SDG,,,SD,San Diego Chargers,San Diego,San Diego,Chargers,san-diego-chargers,1532,,,
2003,SEA,SEA,4600,SEA,SEA,,,SEA,Seattle Seahawks,Seattle,Seattle,Seahawks,seattle-seahawks,1548,,,
2003,SF,SF,4500,SF,SFO,,,SF,San Francisco 49ers,San Francisco,San Francisco,49ers,san-francisco-49ers,1547,,,
2003,STL,STL,2510,STL,RAM,,,STL,St Louis Rams,St Louis,St Louis,Rams,st-louis-rams,1550,,,
2003,TB,TB,4900,TB,TAM,,,TB,Tampa Bay Buccaneers,Tampa Bay,Tampa Bay,Buccaneers,tampa-bay-buccaneers,1544,,,
2003,TEN,TEN,2100,TEN,OTI,,,TEN,Tennessee Titans,Tennessee,Tennessee,Titans,tennessee-titans,1528,,,
2003,WAS,WAS,5110,WSH,WAS,,,WAS,Washington Redskins,Washington,Washington,Redskins,washington-redskins,1537,,,
2004,ARI,ARI,3800,ARI,CRD,,,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,arizona-cardinals,1549,,,
2004,ATL,ATL,0200,ATL,ATL,,,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,atlanta-falcons,1546,,,
2004,BAL,BAL,0325,BAL,RAV,,,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,baltimore-ravens,1521,,,
2004,BUF,BUF,0610,BUF,BUF,,,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,buffalo-bills,1526,,,
2004,CAR,CAR,0750,CAR,CAR,,,CAR,Carolina Panthers,Carolina,Carolina,Panthers,carolina-panthers,1545,,,
2004,CHI,CHI,0810,CHI,CHI,,,CHI,Chicago Bears,Chicago,Chicago,Bears,chicago-bears,1540,,,
2004,CIN,CIN,0920,CIN,CIN,,,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,cincinnati-bengals,1522,,,
2004,CLE,CLE,1050,CLE,CLE,,,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,cleveland-browns,1520,,,
2004,DAL,DAL,1200,DAL,DAL,,,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,dallas-cowboys,1538,,,
2004,DEN,DEN,1400,DEN,DEN,,,DEN,Denver Broncos,Denver,Denver,Broncos,denver-broncos,1534,,,
2004,DET,DET,1540,DET,DET,,,DET,Detroit Lions,Detroit,Detroit,Lions,detroit-lions,1539,,,
2004,GB,GB,1800,GB,GNB,,,GB,Green Bay Packers,Green Bay,Green Bay,Packers,green-bay-packers,1542,,,
2004,HOU,HOU,2120,HOU,HTX,,,HOU,Houston Texans,Houston,Houston,Texans,houston-texans,1530,,,
2004,IND,IND,2200,IND,CLT,,,IND,Indianapolis Colts,Indianapolis,Indianapolis,Colts,indianapolis-colts,1527,,,
2004,JAX,JAC,2250,JAX,JAX,,,JAC,Jacksonville Jaguars,Jacksonville,Jacksonville,Jaguars,jacksonville-jaguars,1529,,,
2004,KC,KC,2310,KC,KAN,,,KC,Kansas City Chiefs,Kansas City,Kansas City,Chiefs,kansas-city-chiefs,1531,,,
2004,MIA,MIA,2700,MIA,MIA,,,MIA,Miami Dolphins,Miami,Miami,Dolphins,miami-dolphins,1524,,,
2004,MIN,MIN,3000,MIN,MIN,,,MIN,Minnesota Vikings,Minnesota,Minnesota,Vikings,minnesota-vikings,1541,,,
2004,NE,NE,3200,NE,NWE,,,NE,New England Patriots,New England,New England,Patriots,new-england-patriots,1525,,,
2004,NO,NO,3300,NO,NOR,,,NO,New Orleans Saints,New Orleans,New Orleans,Saints,new-orleans-saints,1543,,,
2004,NYG,NYG,3410,NYG,NYG,,,NYG,New York Giants,New York Giants,NY Giants,Giants,new-york-giants,1535,,,
2004,NYJ,NYJ,3430,NYJ,NYJ,,,NYJ,New York Jets,New York Jets,NY Jets,Jets,new-york-jets,1523,,,
2004,OAK,OAK,2520,OAK,RAI,,,OAK,Oakland Raiders,Oakland,Oakland,Raiders,oakland-raiders,1533,,,
2004,PHI,PHI,3700,PHI,PHI,,,PHI,Philadelphia Eagles,Philadelphia,Philadelphia,Eagles,philadelphia-eagles,1536,,,
2004,PIT,PIT,3900,PIT,PIT,,,PIT,Pittsburgh Steelers,Pittsburgh,Pittsburgh,Steelers,pittsburgh-steelers,1519,,,
2004,SD,SD,4400,SD,SDG,,,SD,San Diego Chargers,San Diego,San Diego,Chargers,san-diego-chargers,1532,,,
2004,SEA,SEA,4600,SEA,SEA,,,SEA,Seattle Seahawks,Seattle,Seattle,Seahawks,seattle-seahawks,1548,,,
2004,SF,SF,4500,SF,SFO,,,SF,San Francisco 49ers,San Francisco,San Francisco,49ers,san-francisco-49ers,1547,,,
2004,STL,STL,2510,STL,RAM,,,STL,St Louis Rams,St Louis,St Louis,Rams,st-louis-rams,1550,,,
2004,TB,TB,4900,TB,TAM,,,TB,Tampa Bay Buccaneers,Tampa Bay,Tampa Bay,Buccaneers,tampa-bay-buccaneers,1544,,,
2004,TEN,TEN,2100,TEN,OTI,,,TEN,Tennessee Titans,Tennessee,Tennessee,Titans,tennessee-titans,1528,,,
2004,WAS,WAS,5110,WSH,WAS,,,WAS,Washington Redskins,Washington,Washington,Redskins,washington-redskins,1537,,,
2005,ARI,ARI,3800,ARI,CRD,,,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,arizona-cardinals,1549,,,
2005,ATL,ATL,0200,ATL,ATL,,,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,atlanta-falcons,1546,,,
2005,BAL,BAL,0325,BAL,RAV,,,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,baltimore-ravens,1521,,,
2005,BUF,BUF,0610,BUF,BUF,,,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,buffalo-bills,1526,,,
2005,CAR,CAR,0750,CAR,CAR,,,CAR,Carolina Panthers,Carolina,Carolina,Panthers,carolina-panthers,1545,,,
2005,CHI,CHI,0810,CHI,CHI,,,CHI,Chicago Bears,Chicago,Chicago,Bears,chicago-bears,1540,,,
2005,CIN,CIN,0920,CIN,CIN,,,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,cincinnati-bengals,1522,,,
2005,CLE,CLE,1050,CLE,CLE,,,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,cleveland-browns,1520,,,
2005,DAL,DAL,1200,DAL,DAL,,,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,dallas-cowboys,1538,,,
2005,DEN,DEN,1400,DEN,DEN,,,DEN,Denver Broncos,Denver,Denver,Broncos,denver-broncos,1534,,,
2005,DET,DET,1540,DET,DET,,,DET,Detroit Lions,Detroit,Detroit,Lions,detroit-lions,1539,,,
2005,GB,GB,1800,GB,GNB,,,GB,Green Bay Packers,Green Bay,Green Bay,Packers,green-bay-packers,1542,,,
2005,HOU,HOU,2120,HOU,HTX,,,HOU,Houston Texans,Houston,Houston,Texans,houston-texans,1530,,,
2005,IND,IND,2200,IND,CLT,,,IND,Indianapolis Colts,Indianapolis,Indianapolis,Colts,indianapolis-colts,1527,,,
2005,JAX,JAC,2250,JAX,JAX,,,JAC,Jacksonville Jaguars,Jacksonville,Jacksonville,Jaguars,jacksonville-jaguars,1529,,,
2005,KC,KC,2310,KC,KAN,,,KC,Kansas City Chiefs,Kansas City,Kansas City,Chiefs,kansas-city-chiefs,1531,,,
2005,MIA,MIA,2700,MIA,MIA,,,MIA,Miami Dolphins,Miami,Miami,Dolphins,miami-dolphins,1524,,,
2005,MIN,MIN,3000,MIN,MIN,,,MIN,Minnesota Vikings,Minnesota,Minnesota,Vikings,minnesota-vikings,1541,,,
2005,NE,NE,3200,NE,NWE,,,NE,New England Patriots,New England,New England,Patriots,new-england-patriots,1525,,,
2005,NO,NO,3300,NO,NOR,,,NO,New Orleans Saints,New Orleans,New Orleans,Saints,new-orleans-saints,1543,,,
2005,NYG,NYG,3410,NYG,NYG,,,NYG,New York Giants,New York Giants,NY Giants,Giants,new-york-giants,1535,,,
2005,NYJ,NYJ,3430,NYJ,NYJ,,,NYJ,New York Jets,New York Jets,NY Jets,Jets,new-york-jets,1523,,,
2005,OAK,OAK,2520,OAK,RAI,,,OAK,Oakland Raiders,Oakland,Oakland,Raiders,oakland-raiders,1533,,,
2005,PHI,PHI,3700,PHI,PHI,,,PHI,Philadelphia Eagles,Philadelphia,Philadelphia,Eagles,philadelphia-eagles,1536,,,
2005,PIT,PIT,3900,PIT,PIT,,,PIT,Pittsburgh Steelers,Pittsburgh,Pittsburgh,Steelers,pittsburgh-steelers,1519,,,
2005,SD,SD,4400,SD,SDG,,,SD,San Diego Chargers,San Diego,San Diego,Chargers,san-diego-chargers,1532,,,
2005,SEA,SEA,4600,SEA,SEA,,,SEA,Seattle Seahawks,Seattle,Seattle,Seahawks,seattle-seahawks,1548,,,
2005,SF,SF,4500,SF,SFO,,,SF,San Francisco 49ers,San Francisco,San Francisco,49ers,san-francisco-49ers,1547,,,
2005,STL,STL,2510,STL,RAM,,,STL,St Louis Rams,St Louis,St Louis,Rams,st-louis-rams,1550,,,
2005,TB,TB,4900,TB,TAM,,,TB,Tampa Bay Buccaneers,Tampa Bay,Tampa Bay,Buccaneers,tampa-bay-buccaneers,1544,,,
2005,TEN,TEN,2100,TEN,OTI,,,TEN,Tennessee Titans,Tennessee,Tennessee,Titans,tennessee-titans,1528,,,
2005,WAS,WAS,5110,WSH,WAS,,,WAS,Washington Redskins,Washington,Washington,Redskins,washington-redskins,1537,,,
2006,ARI,ARI,3800,ARI,CRD,1,ARZ,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,arizona-cardinals,1549,,,
2006,ATL,ATL,0200,ATL,ATL,2,ATL,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,atlanta-falcons,1546,,,
2006,BAL,BAL,0325,BAL,RAV,3,BLT,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,baltimore-ravens,1521,,,
2006,BUF,BUF,0610,BUF,BUF,4,BUF,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,buffalo-bills,1526,,,
2006,CAR,CAR,0750,CAR,CAR,5,CAR,CAR,Carolina Panthers,Carolina,Carolina,Panthers,carolina-panthers,1545,,,
2006,CHI,CHI,0810,CHI,CHI,6,CHI,CHI,Chicago Bears,Chicago,Chicago,Bears,chicago-bears,1540,,,
2006,CIN,CIN,0920,CIN,CIN,7,CIN,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,cincinnati-bengals,1522,,,
2006,CLE,CLE,1050,CLE,CLE,8,CLV,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,cleveland-browns,1520,,,
2006,DAL,DAL,1200,DAL,DAL,9,DAL,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,dallas-cowboys,1538,,,
2006,DEN,DEN,1400,DEN,DEN,10,DEN,DEN,Denver Broncos,Denver,Denver,Broncos,denver-broncos,1534,,,
2006,DET,DET,1540,DET,DET,11,DET,DET,Detroit Lions,Detroit,Detroit,Lions,detroit-lions,1539,,,
2006,GB,GB,1800,GB,GNB,12,GB,GB,Green Bay Packers,Green Bay,Green Bay,Packers,green-bay-packers,1542,,,
2006,HOU,HOU,2120,HOU,HTX,13,HST,HOU,Houston Texans,Houston,Houston,Texans,houston-texans,1530,,,
2006,IND,IND,2200,IND,CLT,14,IND,IND,Indianapolis Colts,Indianapolis,Indianapolis,Colts,indianapolis-colts,1527,,,
2006,JAX,JAC,2250,JAX,JAX,15,JAX,JAC,Jacksonville Jaguars,Jacksonville,Jacksonville,Jaguars,jacksonville-jaguars,1529,,,
2006,KC,KC,2310,KC,KAN,16,KC,KC,Kansas City Chiefs,Kansas City,Kansas City,Chiefs,kansas-city-chiefs,1531,,,
2006,MIA,MIA,2700,MIA,MIA,17,MIA,MIA,Miami Dolphins,Miami,Miami,Dolphins,miami-dolphins,1524,,,
2006,MIN,MIN,3000,MIN,MIN,18,MIN,MIN,Minnesota Vikings,Minnesota,Minnesota,Vikings,minnesota-vikings,1541,,,
2006,NE,NE,3200,NE,NWE,19,NE,NE,New England Patriots,New England,New England,Patriots,new-england-patriots,1525,,,
2006,NO,NO,3300,NO,NOR,20,NO,NO,New Orleans Saints,New Orleans,New Orleans,Saints,new-orleans-saints,1543,,,
2006,NYG,NYG,3410,NYG,NYG,21,NYG,NYG,New York Giants,New York Giants,NY Giants,Giants,new-york-giants,1535,,,
2006,NYJ,NYJ,3430,NYJ,NYJ,22,NYJ,NYJ,New York Jets,New York Jets,NY Jets,Jets,new-york-jets,1523,,,
2006,OAK,OAK,2520,OAK,RAI,23,OAK,OAK,Oakland Raiders,Oakland,Oakland,Raiders,oakland-raiders,1533,,,
2006,PHI,PHI,3700,PHI,PHI,24,PHI,PHI,Philadelphia Eagles,Philadelphia,Philadelphia,Eagles,philadelphia-eagles,1536,,,
2006,PIT,PIT,3900,PIT,PIT,25,PIT,PIT,Pittsburgh Steelers,Pittsburgh,Pittsburgh,Steelers,pittsburgh-steelers,1519,,,
2006,SD,SD,4400,SD,SDG,27,LAC,SD,San Diego Chargers,San Diego,San Diego,Chargers,san-diego-chargers,1532,,,
2006,SEA,SEA,4600,SEA,SEA,29,SEA,SEA,Seattle Seahawks,Seattle,Seattle,Seahawks,seattle-seahawks,1548,,,
2006,SF,SF,4500,SF,SFO,28,SF,SF,San Francisco 49ers,San Francisco,San Francisco,49ers,san-francisco-49ers,1547,,,
2006,STL,STL,2510,STL,RAM,26,LA,STL,St Louis Rams,St Louis,St. Louis,Rams,st-louis-rams,1550,,,
2006,TB,TB,4900,TB,TAM,30,TB,TB,Tampa Bay Buccaneers,Tampa Bay,Tampa Bay,Buccaneers,tampa-bay-buccaneers,1544,,,
2006,TEN,TEN,2100,TEN,OTI,31,TEN,TEN,Tennessee Titans,Tennessee,Tennessee,Titans,tennessee-titans,1528,,,
2006,WAS,WAS,5110,WSH,WAS,32,WAS,WAS,Washington Redskins,Washington,Washington,Redskins,washington-redskins,1537,,,
2007,ARI,ARI,3800,ARI,CRD,1,ARZ,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,arizona-cardinals,1549,,,
2007,ATL,ATL,0200,ATL,ATL,2,ATL,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,atlanta-falcons,1546,,,
2007,BAL,BAL,0325,BAL,RAV,3,BLT,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,baltimore-ravens,1521,,,
2007,BUF,BUF,0610,BUF,BUF,4,BUF,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,buffalo-bills,1526,,,
2007,CAR,CAR,0750,CAR,CAR,5,CAR,CAR,Carolina Panthers,Carolina,Carolina,Panthers,carolina-panthers,1545,,,
2007,CHI,CHI,0810,CHI,CHI,6,CHI,CHI,Chicago Bears,Chicago,Chicago,Bears,chicago-bears,1540,,,
2007,CIN,CIN,0920,CIN,CIN,7,CIN,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,cincinnati-bengals,1522,,,
2007,CLE,CLE,1050,CLE,CLE,8,CLV,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,cleveland-browns,1520,,,
