season,team,nfl,nfl_team_id,espn,pfr,pff,pfflabel,fo,full,location,short_location,nickname,hyphenated,sbr,sbr_wins,sbr_name,draft_kings
2007,DAL,DAL,1200,DAL,DAL,9,DAL,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,dallas-cowboys,1538,,,
2007,DEN,DEN,1400,DEN,DEN,10,DEN,DEN,Denver Broncos,Denver,Denver,Broncos,denver-broncos,1534,,,
2007,DET,DET,1540,DET,DET,11,DET,DET,Detroit Lions,Detroit,Detroit,Lions,detroit-lions,1539,,,
2007,GB,GB,1800,GB,GNB,12,GB,GB,Green Bay Packers,Green Bay,Green Bay,Packers,green-bay-packers,1542,,,
2007,HOU,HOU,2120,HOU,HTX,13,HST,HOU,Houston Texans,Houston,Houston,Texans,houston-texans,1530,,,
2007,IND,IND,2200,IND,CLT,14,IND,IND,Indianapolis Colts,Indianapolis,Indianapolis,Colts,indianapolis-colts,1527,,,
2007,JAX,JAC,2250,JAX,JAX,15,JAX,JAC,Jacksonville Jaguars,Jacksonville,Jacksonville,Jaguars,jacksonville-jaguars,1529,,,
2007,KC,KC,2310,KC,KAN,16,KC,KC,Kansas City Chiefs,Kansas City,Kansas City,Chiefs,kansas-city-chiefs,1531,,,
2007,MIA,MIA,2700,MIA,MIA,17,MIA,MIA,Miami Dolphins,Miami,Miami,Dolphins,miami-dolphins,1524,,,
2007,MIN,MIN,3000,MIN,MIN,18,MIN,MIN,Minnesota Vikings,Minnesota,Minnesota,Vikings,minnesota-vikings,1541,,,
2007,NE,NE,3200,NE,NWE,19,NE,NE,New England Patriots,New England,New England,Patriots,new-england-patriots,1525,,,
2007,NO,NO,3300,NO,NOR,20,NO,NO,New Orleans Saints,New Orleans,New Orleans,Saints,new-orleans-saints,1543,,,
2007,NYG,NYG,3410,NYG,NYG,21,NYG,NYG,New York Giants,New York Giants,NY Giants,Giants,new-york-giants,1535,,,
2007,NYJ,NYJ,3430,NYJ,NYJ,22,NYJ,NYJ,New York Jets,New York Jets,NY Jets,Jets,new-york-jets,1523,,,
2007,OAK,OAK,2520,OAK,RAI,23,OAK,OAK,Oakland Raiders,Oakland,Oakland,Raiders,oakland-raiders,1533,,,
2007,PHI,PHI,3700,PHI,PHI,24,PHI,PHI,Philadelphia Eagles,Philadelphia,Philadelphia,Eagles,philadelphia-eagles,1536,,,
2007,PIT,PIT,3900,PIT,PIT,25,PIT,PIT,Pittsburgh Steelers,Pittsburgh,Pittsburgh,Steelers,pittsburgh-steelers,1519,,,
2007,SD,SD,4400,SD,SDG,27,LAC,SD,San Diego Chargers,San Diego,San Diego,Chargers,san-diego-chargers,1532,,,
2007,SEA,SEA,4600,SEA,SEA,29,SEA,SEA,Seattle Seahawks,Seattle,Seattle,Seahawks,seattle-seahawks,1548,,,
2007,SF,SF,4500,SF,SFO,28,SF,SF,San Francisco 49ers,San Francisco,San Francisco,49ers,san-francisco-49ers,1547,,,
2007,STL,STL,2510,STL,RAM,26,LA,STL,St Louis Rams,St Louis,St. Louis,Rams,st-louis-rams,1550,,,
2007,TB,TB,4900,TB,TAM,30,TB,TB,Tampa Bay Buccaneers,Tampa Bay,Tampa Bay,Buccaneers,tampa-bay-buccaneers,1544,,,
2007,TEN,TEN,2100,TEN,OTI,31,TEN,TEN,Tennessee Titans,Tennessee,Tennessee,Titans,tennessee-titans,1528,,,
2007,WAS,WAS,5110,WSH,WAS,32,WAS,WAS,Washington Redskins,Washington,Washington,Redskins,washington-redskins,1537,,,
2008,ARI,ARI,3800,ARI,CRD,1,ARZ,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,arizona-cardinals,1549,,,
2008,ATL,ATL,0200,ATL,ATL,2,ATL,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,atlanta-falcons,1546,,,
2008,BAL,BAL,0325,BAL,RAV,3,BLT,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,baltimore-ravens,1521,,,
2008,BUF,BUF,0610,BUF,BUF,4,BUF,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,buffalo-bills,1526,,,
2008,CAR,CAR,0750,CAR,CAR,5,CAR,CAR,Carolina Panthers,Carolina,Carolina,Panthers,carolina-panthers,1545,,,
2008,CHI,CHI,0810,CHI,CHI,6,CHI,CHI,Chicago Bears,Chicago,Chicago,Bears,chicago-bears,1540,,,
2008,CIN,CIN,0920,CIN,CIN,7,CIN,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,cincinnati-bengals,1522,,,
2008,CLE,CLE,1050,CLE,CLE,8,CLV,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,cleveland-browns,1520,,,
2008,DAL,DAL,1200,DAL,DAL,9,DAL,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,dallas-cowboys,1538,,,
2008,DEN,DEN,1400,DEN,DEN,10,DEN,DEN,Denver Broncos,Denver,Denver,Broncos,denver-broncos,1534,,,
2008,DET,DET,1540,DET,DET,11,DET,DET,Detroit Lions,Detroit,Detroit,Lions,detroit-lions,1539,,,
2008,GB,GB,1800,GB,GNB,12,GB,GB,Green Bay Packers,Green Bay,Green Bay,Packers,green-bay-packers,1542,,,
2008,HOU,HOU,2120,HOU,HTX,13,HST,HOU,Houston Texans,Houston,Houston,Texans,houston-texans,1530,,,
2008,IND,IND,2200,IND,CLT,14,IND,IND,Indianapolis Colts,Indianapolis,Indianapolis,Colts,indianapolis-colts,1527,,,
2008,JAX,JAC,2250,JAX,JAX,15,JAX,JAC,Jacksonville Jaguars,Jacksonville,Jacksonville,Jaguars,jacksonville-jaguars,1529,,,
2008,KC,KC,2310,KC,KAN,16,KC,KC,Kansas City Chiefs,Kansas City,Kansas City,Chiefs,kansas-city-chiefs,1531,,,
2008,MIA,MIA,2700,MIA,MIA,17,MIA,MIA,Miami Dolphins,Miami,Miami,Dolphins,miami-dolphins,1524,,,
2008,MIN,MIN,3000,MIN,MIN,18,MIN,MIN,Minnesota Vikings,Minnesota,Minnesota,Vikings,minnesota-vikings,1541,,,
2008,NE,NE,3200,NE,NWE,19,NE,NE,New England Patriots,New England,New England,Patriots,new-england-patriots,1525,,,
2008,NO,NO,3300,NO,NOR,20,NO,NO,New Orleans Saints,New Orleans,New Orleans,Saints,new-orleans-saints,1543,,,
2008,NYG,NYG,3410,NYG,NYG,21,NYG,NYG,New York Giants,New York Giants,NY Giants,Giants,new-york-giants,1535,,,
2008,NYJ,NYJ,3430,NYJ,NYJ,22,NYJ,NYJ,New York Jets,New York Jets,NY Jets,Jets,new-york-jets,1523,,,
2008,OAK,OAK,2520,OAK,RAI,23,OAK,OAK,Oakland Raiders,Oakland,Oakland,Raiders,oakland-raiders,1533,,,
2008,PHI,PHI,3700,PHI,PHI,24,PHI,PHI,Philadelphia Eagles,Philadelphia,Philadelphia,Eagles,philadelphia-eagles,1536,,,
2008,PIT,PIT,3900,PIT,PIT,25,PIT,PIT,Pittsburgh Steelers,Pittsburgh,Pittsburgh,Steelers,pittsburgh-steelers,1519,,,
2008,SD,SD,4400,SD,SDG,27,LAC,SD,San Diego Chargers,San Diego,San Diego,Chargers,san-diego-chargers,1532,,,
2008,SEA,SEA,4600,SEA,SEA,29,SEA,SEA,Seattle Seahawks,Seattle,Seattle,Seahawks,seattle-seahawks,1548,,,
2008,SF,SF,4500,SF,SFO,28,SF,SF,San Francisco 49ers,San Francisco,San Francisco,49ers,san-francisco-49ers,1547,,,
2008,STL,STL,2510,STL,RAM,26,LA,STL,St Louis Rams,St Louis,St. Louis,Rams,st-louis-rams,1550,,,
2008,TB,TB,4900,TB,TAM,30,TB,TB,Tampa Bay Buccaneers,Tampa Bay,Tampa Bay,Buccaneers,tampa-bay-buccaneers,1544,,,
2008,TEN,TEN,2100,TEN,OTI,31,TEN,TEN,Tennessee Titans,Tennessee,Tennessee,Titans,tennessee-titans,1528,,,
2008,WAS,WAS,5110,WSH,WAS,32,WAS,WAS,Washington Redskins,Washington,Washington,Redskins,washington-redskins,1537,,,
2009,ARI,ARI,3800,ARI,CRD,1,ARZ,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,arizona-cardinals,1549,,,
2009,ATL,ATL,0200,ATL,ATL,2,ATL,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,atlanta-falcons,1546,,,
2009,BAL,BAL,0325,BAL,RAV,3,BLT,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,baltimore-ravens,1521,,,
2009,BUF,BUF,0610,BUF,BUF,4,BUF,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,buffalo-bills,1526,,,
2009,CAR,CAR,0750,CAR,CAR,5,CAR,CAR,Carolina Panthers,Carolina,Carolina,Panthers,carolina-panthers,1545,,,
2009,CHI,CHI,0810,CHI,CHI,6,CHI,CHI,Chicago Bears,Chicago,Chicago,Bears,chicago-bears,1540,,,
2009,CIN,CIN,0920,CIN,CIN,7,CIN,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,cincinnati-bengals,1522,,,
2009,CLE,CLE,1050,CLE,CLE,8,CLV,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,cleveland-browns,1520,,,
2009,DAL,DAL,1200,DAL,DAL,9,DAL,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,dallas-cowboys,1538,,,
2009,DEN,DEN,1400,DEN,DEN,10,DEN,DEN,Denver Broncos,Denver,Denver,Broncos,denver-broncos,1534,,,
2009,DET,DET,1540,DET,DET,11,DET,DET,Detroit Lions,Detroit,Detroit,Lions,detroit-lions,1539,,,
2009,GB,GB,1800,GB,GNB,12,GB,GB,Green Bay Packers,Green Bay,Green Bay,Packers,green-bay-packers,1542,,,
2009,HOU,HOU,2120,HOU,HTX,13,HST,HOU,Houston Texans,Houston,Houston,Texans,houston-texans,1530,,,
2009,IND,IND,2200,IND,CLT,14,IND,IND,Indianapolis Colts,Indianapolis,Indianapolis,Colts,indianapolis-colts,1527,,,
2009,JAX,JAC,2250,JAX,JAX,15,JAX,JAC,Jacksonville Jaguars,Jacksonville,Jacksonville,Jaguars,jacksonville-jaguars,1529,,,
2009,KC,KC,2310,KC,KAN,16,KC,KC,Kansas City Chiefs,Kansas City,Kansas City,Chiefs,kansas-city-chiefs,1531,,,
2009,MIA,MIA,2700,MIA,MIA,17,MIA,MIA,Miami Dolphins,Miami,Miami,Dolphins,miami-dolphins,1524,,,
2009,MIN,MIN,3000,MIN,MIN,18,MIN,MIN,Minnesota Vikings,Minnesota,Minnesota,Vikings,minnesota-vikings,1541,,,
2009,NE,NE,3200,NE,NWE,19,NE,NE,New England Patriots,New England,New England,Patriots,new-england-patriots,1525,,,
2009,NO,NO,3300,NO,NOR,20,NO,NO,New Orleans Saints,New Orleans,New Orleans,Saints,new-orleans-saints,1543,,,
2009,NYG,NYG,3410,NYG,NYG,21,NYG,NYG,New York Giants,New York Giants,NY Giants,Giants,new-york-giants,1535,,,
2009,NYJ,NYJ,3430,NYJ,NYJ,22,NYJ,NYJ,New York Jets,New York Jets,NY Jets,Jets,new-york-jets,1523,,,
2009,OAK,OAK,2520,OAK,RAI,23,OAK,OAK,Oakland Raiders,Oakland,Oakland,Raiders,oakland-raiders,1533,,,
2009,PHI,PHI,3700,PHI,PHI,24,PHI,PHI,Philadelphia Eagles,Philadelphia,Philadelphia,Eagles,philadelphia-eagles,1536,,,
2009,PIT,PIT,3900,PIT,PIT,25,PIT,PIT,Pittsburgh Steelers,Pittsburgh,Pittsburgh,Steelers,pittsburgh-steelers,1519,,,
2009,SD,SD,4400,SD,SDG,27,LAC,SD,San Diego Chargers,San Diego,San Diego,Chargers,san-diego-chargers,1532,,,
2009,SEA,SEA,4600,SEA,SEA,29,SEA,SEA,Seattle Seahawks,Seattle,Seattle,Seahawks,seattle-seahawks,1548,,,
2009,SF,SF,4500,SF,SFO,28,SF,SF,San Francisco 49ers,San Francisco,San Francisco,49ers,san-francisco-49ers,1547,,,
2009,STL,STL,2510,STL,RAM,26,LA,STL,St Louis Rams,St Louis,St. Louis,Rams,st-louis-rams,1550,,,
2009,TB,TB,4900,TB,TAM,30,TB,TB,Tampa Bay Buccaneers,Tampa Bay,Tampa Bay,Buccaneers,tampa-bay-buccaneers,1544,,,
2009,TEN,TEN,2100,TEN,OTI,31,TEN,TEN,Tennessee Titans,Tennessee,Tennessee,Titans,tennessee-titans,1528,,,
2009,WAS,WAS,5110,WSH,WAS,32,WAS,WAS,Washington Redskins,Washington,Washington,Redskins,washington-redskins,1537,,,
2010,ARI,ARI,3800,ARI,CRD,1,ARZ,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,arizona-cardinals,1549,,,
2010,ATL,ATL,0200,ATL,ATL,2,ATL,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,atlanta-falcons,1546,,,
2010,BAL,BAL,0325,BAL,RAV,3,BLT,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,baltimore-ravens,1521,,,
2010,BUF,BUF,0610,BUF,BUF,4,BUF,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,buffalo-bills,1526,,,
2010,CAR,CAR,0750,CAR,CAR,5,CAR,CAR,Carolina Panthers,Carolina,Carolina,Panthers,carolina-panthers,1545,,,
2010,CHI,CHI,0810,CHI,CHI,6,CHI,CHI,Chicago Bears,Chicago,Chicago,Bears,chicago-bears,1540,,,
2010,CIN,CIN,0920,CIN,CIN,7,CIN,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,cincinnati-bengals,1522,,,
2010,CLE,CLE,1050,CLE,CLE,8,CLV,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,cleveland-browns,1520,,,
2010,DAL,DAL,1200,DAL,DAL,9,DAL,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,dallas-cowboys,1538,,,
2010,DEN,DEN,1400,DEN,DEN,10,DEN,DEN,Denver Broncos,Denver,Denver,Broncos,denver-broncos,1534,,,
2010,DET,DET,1540,DET,DET,11,DET,DET,Detroit Lions,Detroit,Detroit,Lions,detroit-lions,1539,,,
2010,GB,GB,1800,GB,GNB,12,GB,GB,Green Bay Packers,Green Bay,Green Bay,Packers,green-bay-packers,1542,,,
2010,HOU,HOU,2120,HOU,HTX,13,HST,HOU,Houston Texans,Houston,Houston,Texans,houston-texans,1530,,,
2010,IND,IND,2200,IND,CLT,14,IND,IND,Indianapolis Colts,Indianapolis,Indianapolis,Colts,indianapolis-colts,1527,,,
2010,JAX,JAC,2250,JAX,JAX,15,JAX,JAC,Jacksonville Jaguars,Jacksonville,Jacksonville,Jaguars,jacksonville-jaguars,1529,,,
2010,KC,KC,2310,KC,KAN,16,KC,KC,Kansas City Chiefs,Kansas City,Kansas City,Chiefs,kansas-city-chiefs,1531,,,
2010,MIA,MIA,2700,MIA,MIA,17,MIA,MIA,Miami Dolphins,Miami,Miami,Dolphins,miami-dolphins,1524,,,
2010,MIN,MIN,3000,MIN,MIN,18,MIN,MIN,Minnesota Vikings,Minnesota,Minnesota,Vikings,minnesota-vikings,1541,,,
2010,NE,NE,3200,NE,NWE,19,NE,NE,New England Patriots,New England,New England,Patriots,new-england-patriots,1525,,,
2010,NO,NO,3300,NO,NOR,20,NO,NO,New Orleans Saints,New Orleans,New Orleans,Saints,new-orleans-saints,1543,,,
2010,NYG,NYG,3410,NYG,NYG,21,NYG,NYG,New York Giants,New York Giants,NY Giants,Giants,new-york-giants,1535,,,
2010,NYJ,NYJ,3430,NYJ,NYJ,22,NYJ,NYJ,New York Jets,New York Jets,NY Jets,Jets,new-york-jets,1523,,,
2010,OAK,OAK,2520,OAK,RAI,23,OAK,OAK,Oakland Raiders,Oakland,Oakland,Raiders,oakland-raiders,1533,,,
2010,PHI,PHI,3700,PHI,PHI,24,PHI,PHI,Philadelphia Eagles,Philadelphia,Philadelphia,Eagles,philadelphia-eagles,1536,,,
2010,PIT,PIT,3900,PIT,PIT,25,PIT,PIT,Pittsburgh Steelers,Pittsburgh,Pittsburgh,Steelers,pittsburgh-steelers,1519,,,
2010,SD,SD,4400,SD,SDG,27,LAC,SD,San Diego Chargers,San Diego,San Diego,Chargers,san-diego-chargers,1532,,,
2010,SEA,SEA,4600,SEA,SEA,29,SEA,SEA,Seattle Seahawks,Seattle,Seattle,Seahawks,seattle-seahawks,1548,,,
2010,SF,SF,4500,SF,SFO,28,SF,SF,San Francisco 49ers,San Francisco,San Francisco,49ers,san-francisco-49ers,1547,,,
2010,STL,STL,2510,STL,RAM,26,LA,STL,St Louis Rams,St Louis,St. Louis,Rams,st-louis-rams,1550,,,
2010,TB,TB,4900,TB,TAM,30,TB,TB,Tampa Bay Buccaneers,Tampa Bay,Tampa Bay,Buccaneers,tampa-bay-buccaneers,1544,,,
2010,TEN,TEN,2100,TEN,OTI,31,TEN,TEN,Tennessee Titans,Tennessee,Tennessee,Titans,tennessee-titans,1528,,,
2010,WAS,WAS,5110,WSH,WAS,32,WAS,WAS,Washington Redskins,Washington,Washington,Redskins,washington-redskins,1537,,,
2011,ARI,ARI,3800,ARI,CRD,1,ARZ,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,arizona-cardinals,1549,,,
2011,ATL,ATL,0200,ATL,ATL,2,ATL,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,atlanta-falcons,1546,,,
2011,BAL,BAL,0325,BAL,RAV,3,BLT,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,baltimore-ravens,1521,,,
2011,BUF,BUF,0610,BUF,BUF,4,BUF,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,buffalo-bills,1526,,,
2011,CAR,CAR,0750,CAR,CAR,5,CAR,CAR,Carolina Panthers,Carolina,Carolina,Panthers,carolina-panthers,1545,,,
2011,CHI,CHI,0810,CHI,CHI,6,CHI,CHI,Chicago Bears,Chicago,Chicago,Bears,chicago-bears,1540,,,
2011,CIN,CIN,0920,CIN,CIN,7,CIN,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,cincinnati-bengals,1522,,,
2011,CLE,CLE,1050,CLE,CLE,8,CLV,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,cleveland-browns,1520,,,
2011,DAL,DAL,1200,DAL,DAL,9,DAL,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,dallas-cowboys,1538,,,
2011,DEN,DEN,1400,DEN,DEN,10,DEN,DEN,Denver Broncos,Denver,Denver,Broncos,denver-broncos,1534,,,
2011,DET,DET,1540,DET,DET,11,DET,DET,Detroit Lions,Detroit,Detroit,Lions,detroit-lions,1539,,,
2011,GB,GB,1800,GB,GNB,12,GB,GB,Green Bay Packers,Green Bay,Green Bay,Packers,green-bay-packers,1542,,,
2011,HOU,HOU,2120,HOU,HTX,13,HST,HOU,Houston Texans,Houston,Houston,Texans,houston-texans,1530,,,
2011,IND,IND,2200,IND,CLT,14,IND,IND,Indianapolis Colts,Indianapolis,Indianapolis,Colts,indianapolis-colts,1527,,,
2011,JAX,JAC,2250,JAX,JAX,15,JAX,JAC,Jacksonville Jaguars,Jacksonville,Jacksonville,Jaguars,jacksonville-jaguars,1529,,,
2011,KC,KC,2310,KC,KAN,16,KC,KC,Kansas City Chiefs,Kansas City,Kansas City,Chiefs,kansas-city-chiefs,1531,,,
2011,MIA,MIA,2700,MIA,MIA,17,MIA,MIA,Miami Dolphins,Miami,Miami,Dolphins,miami-dolphins,1524,,,
2011,MIN,MIN,3000,MIN,MIN,18,MIN,MIN,Minnesota Vikings,Minnesota,Minnesota,Vikings,minnesota-vikings,1541,,,
2011,NE,NE,3200,NE,NWE,19,NE,NE,New England Patriots,New England,New England,Patriots,new-england-patriots,1525,,,
2011,NO,NO,3300,NO,NOR,20,NO,NO,New Orleans Saints,New Orleans,New Orleans,Saints,new-orleans-saints,1543,,,
2011,NYG,NYG,3410,NYG,NYG,21,NYG,NYG,New York Giants,New York Giants,NY Giants,Giants,new-york-giants,1535,,,
2011,NYJ,NYJ,3430,NYJ,NYJ,22,NYJ,NYJ,New York Jets,New York Jets,NY Jets,Jets,new-york-jets,1523,,,
2011,OAK,OAK,2520,OAK,RAI,23,OAK,OAK,Oakland Raiders,Oakland,Oakland,Raiders,oakland-raiders,1533,,,
2011,PHI,PHI,3700,PHI,PHI,24,PHI,PHI,Philadelphia Eagles,Philadelphia,Philadelphia,Eagles,philadelphia-eagles,1536,,,
2011,PIT,PIT,3900,PIT,PIT,25,PIT,PIT,Pittsburgh Steelers,Pittsburgh,Pittsburgh,Steelers,pittsburgh-steelers,1519,,,
2011,SD,SD,4400,SD,SDG,27,LAC,SD,San Diego Chargers,San Diego,San Diego,Chargers,san-diego-chargers,1532,,,
2011,SEA,SEA,4600,SEA,SEA,29,SEA,SEA,Seattle Seahawks,Seattle,Seattle,Seahawks,seattle-seahawks,1548,,,
2011,SF,SF,4500,SF,SFO,28,SF,SF,San Francisco 49ers,San Francisco,San Francisco,49ers,san-francisco-49ers,1547,,,
2011,STL,STL,2510,STL,RAM,26,LA,STL,St Louis Rams,St Louis,St. Louis,Rams,st-louis-rams,1550,,,
2011,TB,TB,4900,TB,TAM,30,TB,TB,Tampa Bay Buccaneers,Tampa Bay,Tampa Bay,Buccaneers,tampa-bay-buccaneers,1544,,,
2011,TEN,TEN,2100,TEN,OTI,31,TEN,TEN,Tennessee Titans,Tennessee,Tennessee,Titans,tennessee-titans,1528,,,
2011,WAS,WAS,5110,WSH,WAS,32,WAS,WAS,Washington Redskins,Washington,Washington,Redskins,washington-redskins,1537,,,
2012,ARI,ARI,3800,ARI,CRD,1,ARZ,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,arizona-cardinals,1549,,,
2012,ATL,ATL,0200,ATL,ATL,2,ATL,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,atlanta-falcons,1546,,,
2012,BAL,BAL,0325,BAL,RAV,3,BLT,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,baltimore-ravens,1521,,,
2012,BUF,BUF,0610,BUF,BUF,4,BUF,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,buffalo-bills,1526,,,
2012,CAR,CAR,0750,CAR,CAR,5,CAR,CAR,Carolina Panthers,Carolina,Carolina,Panthers,carolina-panthers,1545,,,
2012,CHI,CHI,0810,CHI,CHI,6,CHI,CHI,Chicago Bears,Chicago,Chicago,Bears,chicago-bears,1540,,,
2012,CIN,CIN,0920,CIN,CIN,7,CIN,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,cincinnati-bengals,1522,,,
2012,CLE,CLE,1050,CLE,CLE,8,CLV,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,cleveland-browns,1520,,,
2012,DAL,DAL,1200,DAL,DAL,9,DAL,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,dallas-cowboys,1538,,,
2012,DEN,DEN,1400,DEN,DEN,10,DEN,DEN,Denver Broncos,Denver,Denver,Broncos,denver-broncos,1534,,,
2012,DET,DET,1540,DET,DET,11,DET,DET,Detroit Lions,Detroit,Detroit,Lions,detroit-lions,1539,,,
