season,team,line,over_odds,under_odds
2003,ARI,5.0,125,-155
2003,ATL,9.5,-115,-115
2003,BAL,7.5,-160,130
2003,BUF,8.5,-130,100
2003,CAR,7.5,-115,-115
2003,CHI,7.5,130,-160
2003,CIN,5.5,-130,100
2003,CLE,8.5,100,-130
2003,DAL,7.5,130,-160
2003,DEN,9.5,-120,-110
2003,DET,6.0,-140,110
2003,GB,10.0,130,-160
2003,HOU,5.0,-130,100
2003,IND,8.5,-115,-115
2003,JAX,7.0,100,-130
2003,KC,9.0,-130,100
2003,MIA,9.5,-145,115
2003,MIN,8.0,-130,100
2003,NE,8.5,-160,130
2003,NO,8.0,-130,100
2003,NYG,8.5,-145,115
2003,NYJ,9.0,-115,-115
2003,OAK,9.5,-150,120
2003,PHI,10.5,130,-160
2003,PIT,9.5,-150,120
2003,SD,8.5,120,-150
2003,SEA,7.5,-180,140
2003,SF,9.5,115,-145
2003,STL,9.5,-130,100
2003,TB,10.5,-115,-115
2003,TEN,9.5,-135,105
2003,WAS,7.5,-150,120
2004,ARI,5.5,-130,100
2004,ATL,9.0,-110,-120
2004,BAL,9.0,100,-130
2004,BUF,7.5,-115,-115
2004,CAR,8.5,100,-130
2004,CHI,6.5,-130,100
2004,CIN,7.5,-115,-115
2004,CLE,7.5,120,-150
2004,DAL,9.0,-115,-115
2004,DEN,9.0,-115,-115
2004,DET,6.5,-130,100
2004,GB,9.5,115,-145
2004,HOU,6.5,100,-130
2004,IND,10.5,120,-150
2004,JAX,7.5,-140,110
2004,KC,10.0,100,-130
2004,MIA,9.5,110,-140
2004,MIN,8.5,-140,110
2004,NE,10.5,100,-130
2004,NO,7.5,-115,-115
2004,NYG,6.0,-135,105
2004,NYJ,9.0,120,-150
2004,OAK,7.5,-130,100
2004,PHI,10.5,100,-130
2004,PIT,7.5,100,-130
2004,SD,4.5,110,-140
2004,SEA,9.0,100,-130
2004,SF,5.0,-130,100
2004,STL,9.5,110,-140
2004,TB,9.0,-130,100
2004,TEN,9.5,-130,100
2004,WAS,9.0,100,-130
2005,ARI,7.0,-150,120
2005,ATL,9.5,110,-140
2005,BAL,10.0,105,-135
2005,BUF,8.0,-135,105
2005,CAR,9.0,-130,100
2005,CHI,7.0,100,-130
2005,CIN,8.0,-115,-115
2005,CLE,5.0,115,-145
2005,DAL,8.0,-140,110
2005,DEN,8.5,-140,110
2005,DET,8.0,-130,100
2005,GB,8.0,110,-140
2005,HOU,7.5,100,-130
2005,IND,11.5,-110,-120
2005,JAX,8.5,-115,-115
2005,KC,9.0,-115,-115
2005,MIA,5.5,-165,135
2005,MIN,9.0,-135,105
2005,NE,11.0,110,-140
2005,NO,7.5,-125,-105
2005,NYG,6.5,-120,-110
2005,NYJ,9.0,-125,-105
2005,OAK,7.5,-145,115
2005,PHI,11.5,-110,-120
2005,PIT,9.5,-150,120
2005,SD,8.0,-130,100
2005,SEA,9.0,100,-130
2005,SF,4.5,100,-130
2005,STL,8.0,-150,120
2005,TB,7.0,-115,-115
2005,TEN,6.5,-115,-115
2005,WAS,7.5,-115,-115
2006,ARI,8.0,110,-130
2006,ATL,8.0,-135,115
2006,BAL,8.0,-130,110
2006,BUF,7.0,165,-185
2006,CAR,10.0,-110,-110
2006,CHI,9.0,-160,140
2006,CIN,9.0,-105,-115
2006,CLE,6.5,-175,155
2006,DAL,9.5,-110,-110
2006,DEN,10.0,-110,-110
2006,DET,7.0,120,-140
2006,GB,6.0,-160,140
2006,HOU,5.5,-130,110
2006,IND,11.5,110,-130
2006,JAX,9.0,110,-130
2006,KC,9.5,110,-130
2006,MIA,9.0,-135,115
2006,MIN,8.0,-120,100
2006,NE,10.5,125,-145
2006,NO,7.0,135,-155
2006,NYG,9.0,115,-135
2006,NYJ,6.5,130,-150
2006,OAK,6.5,105,-125
2006,PHI,8.5,-135,115
2006,PIT,10.5,-110,-120
2006,SD,9.0,130,-150
2006,SEA,10.5,110,-130
2006,SF,5.0,100,-120
2006,STL,7.0,110,-130
2006,TB,8.0,100,-120
2006,TEN,5.5,120,-140
2006,WAS,9.0,-140,120
2007,ARI,7.0,-135,115
2007,ATL,7.5,100,-120
2007,BAL,9.0,-140,120
2007,BUF,6.0,-110,-110
2007,CAR,9.0,120,-140
2007,CHI,10.0,115,-135
2007,CIN,9.0,-130,110
2007,CLE,5.5,-160,140
2007,DAL,9.0,-125,105
2007,DEN,9.5,-105,-115
2007,DET,6.0,-110,-110
2007,GB,7.5,130,-150
2007,HOU,6.5,100,-120
2007,IND,10.5,-120,100
2007,JAX,9.0,100,-120
2007,KC,7.5,100,-120
2007,MIA,7.0,-120,100
2007,MIN,6.5,-140,120
2007,NE,11.5,-110,-110
2007,NO,9.0,-110,-110
2007,NYG,8.0,-110,-110
2007,NYJ,8.0,150,-170
2007,OAK,5.0,-120,100
2007,PHI,9.0,-140,120
2007,PIT,9.0,115,-135
2007,SD,10.5,-140,120
2007,SEA,9.0,120,-140
2007,SF,7.5,-145,125
2007,STL,7.5,100,-120
2007,TB,7.0,-110,-110
2007,TEN,7.0,105,-125
2007,WAS,7.5,140,-160
2008,ARI,7.5,-135,115
2008,ATL,4.5,-150,130
2008,BAL,6.0,115,-135
2008,BUF,7.5,-150,130
2008,CAR,7.5,-140,120
2008,CHI,8.0,110,-130
2008,CIN,7.0,-125,105
2008,CLE,8.0,-150,130
2008,DAL,10.5,-135,115
2008,DEN,7.5,-145,125
2008,DET,6.5,-130,110
2008,GB,8.5,140,-160
2008,HOU,7.5,100,-120
2008,IND,11.0,145,-165
2008,JAX,10.0,-105,-115
2008,KC,5.5,-175,155
2008,MIA,5.5,-110,-110
2008,MIN,8.5,100,-120
2008,NE,12.0,-165,145
2008,NO,8.5,-155,135
2008,NYG,8.5,-140,120
2008,NYJ,7.5,-110,-110
2008,OAK,6.0,-135,115
2008,PHI,8.5,-170,150
2008,PIT,9.0,-130,110
2008,SD,10.5,-135,115
2008,SEA,8.5,-150,130
2008,SF,6.0,-155,135
2008,STL,6.5,-140,120
2008,TB,8.0,110,-130
2008,TEN,8.0,-110,-110
2008,WAS,7.5,-120,100
2009,ARI,8.5,-110,-120
2009,ATL,8.5,100,-135
2009,BAL,8.5,-150,120
2009,BUF,7.5,-120,-110
2009,CAR,8.5,110,-140
2009,CHI,8.5,-160,130
2009,CIN,7.0,-130,-110
2009,CLE,7.0,160,-190
2009,DAL,9.0,-125,-105
2009,DEN,6.5,105,-135
2009,DET,4.5,-135,100
2009,GB,9.0,-130,100
2009,HOU,8.5,110,-140
2009,IND,10.0,-115,-115
2009,JAX,8.0,-135,105
2009,KC,6.0,-125,-105
2009,MIA,7.0,-125,-105
2009,MIN,9.5,-125,105
2009,NE,11.5,-135,105
2009,NO,9.0,-120,-110
2009,NYG,10.0,-120,-110
2009,NYJ,7.0,-130,100
2009,OAK,6.0,110,-140
2009,PHI,9.5,-145,115
2009,PIT,10.5,-125,-105
2009,SD,10.0,-140,110
2009,SEA,7.5,-175,145
2009,SF,7.0,-140,110
2009,STL,5.5,-150,120
2009,TB,6.5,140,-170
2009,TEN,9.0,-105,-125
2009,WAS,8.5,120,-150
2010,ARI,7.5,-140,110
2010,ATL,9.5,-115,-115
2010,BAL,10.0,-105,-125
2010,BUF,5.0,-125,-105
2010,CAR,7.0,115,-145
2010,CHI,8.0,105,-135
2010,CIN,8.0,-140,110
2010,CLE,5.5,-130,100
2010,DAL,10.0,-135,105
2010,DEN,7.0,-130,100
2010,DET,5.0,-155,125
2010,GB,9.5,-160,130
2010,HOU,8.5,-115,-115
2010,IND,10.5,-130,100
2010,JAX,7.0,-105,-125
2010,KC,6.5,-115,-115
2010,MIA,8.5,-125,-105
2010,MIN,9.5,-110,-120
2010,NE,9.5,-120,-110
2010,NO,10.5,100,-130
2010,NYG,9.0,-110,-120
2010,NYJ,9.5,-125,-105
2010,OAK,6.0,-150,120
2010,PHI,8.5,110,-140
2010,PIT,8.5,-110,-120
2010,SD,10.5,-115,-115
2010,SEA,7.0,110,-140
2010,SF,9.0,-115,-115
2010,STL,4.5,-125,-105
2010,TB,6.0,100,-130
2010,TEN,8.0,-130,100
2010,WAS,7.5,100,-130
2011,ARI,7.0,-150,120
2011,ATL,10.0,-105,-125
2011,BAL,10.5,110,-140
2011,BUF,5.5,-120,-110
2011,CAR,4.5,-105,-125
2011,CHI,8.5,130,-160
2011,CIN,5.5,110,-140
2011,CLE,6.5,-160,130
2011,DAL,9.0,110,-140
2011,DEN,6.0,-120,-110
2011,DET,8.0,-145,115
2011,GB,11.5,120,-150
2011,HOU,9.0,-145,115
2011,IND,9.5,-135,105
2011,JAX,6.5,-110,-120
2011,KC,7.5,-115,-115
2011,MIA,7.5,115,-145
2011,MIN,7.0,-120,-110
2011,NE,11.5,-115,-115
2011,NO,10.0,-150,120
2011,NYG,9.5,130,-160
2011,NYJ,10.0,105,-135
2011,OAK,6.5,-105,-125
2011,PHI,10.5,-150,120
2011,PIT,10.5,-120,-110
2011,SD,11.0,115,-145
2011,SEA,6.0,120,-150
2011,SF,7.5,-105,-125
2011,STL,7.5,-120,-110
2011,TB,8.0,120,-150
2011,TEN,6.5,-130,100
2011,WAS,6.0,-125,-105
2012,ARI,7.0,133,-170
2012,ATL,9.0,-135,105
2012,BAL,10.0,150,-190
2012,BUF,8.0,-150,120
2012,CAR,7.5,-145,115
2012,CHI,9.5,-105,-125
2012,CIN,8.0,105,-135
2012,CLE,5.5,133,-170
2012,DAL,8.5,-160,125
2012,DEN,8.5,-170,133
2012,DET,9.0,105,-135
2012,GB,12.0,160,-200
2012,HOU,10.0,-190,150
2012,IND,5.5,-105,-125
2012,JAX,5.5,-110,-120
2012,KC,8.0,125,-160
2012,MIA,7.0,170,-220
2012,MIN,6.0,-115,-115
2012,NE,12.0,-115,-115
2012,NO,9.5,-125,-105
2012,NYG,9.0,-140,110
2012,NYJ,8.5,125,-160
2012,OAK,7.0,-115,-115
2012,PHI,10.0,110,-140
2012,PIT,10.0,-125,-105
2012,SD,9.0,130,-165
2012,SEA,7.5,-130,100
2012,SF,10.0,110,-140
2012,STL,6.0,-125,-105
2012,TB,6.0,-140,110
2012,TEN,7.0,-145,115
2012,WAS,6.5,115,-145
2013,ARI,5.5,-160,125
2013,ATL,10.0,100,-130
2013,BAL,8.5,-110,-120
2013,BUF,6.5,120,-150
2013,CAR,7.5,-140,110
2013,CHI,8.5,-150,120
2013,CIN,8.5,-170,133
2013,CLE,6.5,-125,-105
2013,DAL,8.5,-115,-115
2013,DEN,11.5,-105,-125
2013,DET,8.0,-150,120
2013,GB,10.5,-105,-125
2013,HOU,10.5,125,-160
2013,IND,8.5,-110,-120
2013,JAX,5.0,-115,-115
2013,KC,7.5,-160,-125
2013,MIA,8.0,120,-150
2013,MIN,7.0,-105,-125
2013,NE,11.0,130,-165
2013,NO,9.0,-150,120
2013,NYG,9.0,130,-165
2013,NYJ,6.5,160,-200
2013,OAK,5.5,160,-200
2013,PHI,7.5,100,-130
2013,PIT,9.0,-115,-115
2013,SD,7.5,120,-150
2013,SEA,10.5,-140,110
2013,SF,11.5,150,-190
2013,STL,7.5,-120,-110
2013,TB,7.5,-145,115
2013,TEN,6.5,-115,-115
2013,WAS,8.0,-125,-105
2014,ARI,7.5,-175,155
2014,ATL,8.5,150,-170
2014,BAL,8.5,-120,100
2014,BUF,6.5,-145,125
2014,CAR,8.0,145,-165
2014,CHI,8.5,-150,130
2014,CIN,9.0,-110,-110
2014,CLE,6.5,110,-130
2014,DAL,8.0,230,-270
2014,DEN,11.5,100,-120
2014,DET,8.5,110,-130
2014,GB,10.5,115,-135
2014,HOU,7.5,-175,155
2014,IND,9.5,110,-130
2014,JAX,5.0,-150,130
2014,KC,8.0,160,-180
2014,MIA,8.0,150,-170
2014,MIN,6.0,-175,155
2014,NE,10.5,-180,160
2014,NO,10.0,-160,140
2014,NYG,8.0,130,-150
2014,NYJ,7.0,-125,105
2014,OAK,5.0,-130,110
2014,PHI,9.0,-150,130
2014,PIT,8.5,-140,120
2014,SD,8.0,-135,115
2014,SEA,11.0,-110,-110
2014,SF,10.5,145,-165
2014,STL,7.0,120,-140
2014,TB,7.0,-120,100
2014,TEN,7.0,-140,120
2014,WAS,7.5,-120,100
2015,ARI,8.5,120,-140
2015,ATL,8.5,-110,-110
2015,BAL,9.0,-140,120
2015,BUF,8.5,130,-150
2015,CAR,8.5,150,-170
2015,CHI,6.5,100,-120
2015,CIN,8.5,100,-120
2015,CLE,6.5,155,-175
2015,DAL,9.5,110,-130
2015,DEN,10.0,-140,120
2015,DET,8.5,130,-150
2015,GB,11.0,140,-160
2015,HOU,8.5,100,-120
2015,IND,10.5,-160,140
2015,JAX,5.5,-120,100
2015,KC,8.5,-150,130
2015,MIA,9.0,-160,140
2015,MIN,8.0,-150,130
2015,NE,10.5,-130,110
2015,NO,8.5,-130,110
2015,NYG,8.0,150,-170
2015,NYJ,7.5,110,-130
2015,OAK,5.5,-160,140
2015,PHI,10.0,-130,110
2015,PIT,8.5,-110,-110
2015,SD,8.0,-160,140
2015,SEA,11.0,-120,100
2015,SF,6.5,155,-175
2015,STL,7.5,-110,-110
2015,TB,6.0,-150,130
2015,TEN,5.5,-200,180
2015,WAS,6.0,-130,110
2016,ARI,10.0,-170,150
2016,ATL,7.0,-130,110
2016,BAL,8.5,-110,-110
2016,BUF,8.0,130,-150
2016,CAR,10.5,120,-140
2016,CHI,7.5,145,-165
2016,CIN,9.5,100,-120
2016,CLE,4.5,-150,130
2016,DAL,8.5,110,-130
2016,DEN,9.5,130,-150
2016,DET,7.0,-150,130
2016,GB,10.5,-170,150
2016,HOU,8.5,-120,100
2016,IND,9.0,120,-140
2016,JAX,7.5,-125,105
2016,KC,9.5,-140,120
2016,LA,7.5,175,-200
2016,MIA,7.0,120,-140
2016,MIN,8.5,115,-135
2016,NE,10.5,-120,100
2016,NO,7.0,-140,120
2016,NYG,8.5,100,-120
2016,NYJ,8.0,150,-170
2016,OAK,8.5,-110,-110
2016,PHI,6.5,130,-150
2016,PIT,10.5,110,-130
2016,SD,7.0,-185,165
2016,SEA,10.5,-145,125
2016,SF,5.5,110,-130
2016,TB,7.0,-140,120
2016,TEN,6.0,-150,130
2016,WAS,7.5,-120,100
2017,ARI,8.5,-160,140
2017,ATL,9.5,-110,-110
2017,BAL,8.5,130,-150
2017,BUF,6.5,130,-150
2017,CAR,9.0,-120,100
2017,CHI,5.5,105,-125
2017,CIN,8.5,120,-140
2017,CLE,4.5,-180,150
2017,DAL,9.5,120,-140
2017,DEN,8.0,100,-120
2017,DET,7.5,120,-140
2017,GB,10.5,120,-140
2017,HOU,8.5,100,-120
2017,IND,8.0,130,-150
2017,JAX,6.5,-125,105
2017,KC,9.0,-120,100
2017,LAC,7.5,-160,140
2017,LA,6.0,140,-160
2017,MIA,7.0,-130,110
2017,MIN,8.5,-130,110
2017,NE,12.5,100,-120
2017,NO,8.0,100,-120
2017,NYG,9.0,-130,110
2017,NYJ,3.5,125,-145
2017,OAK,9.5,100,-120
2017,PHI,8.5,-120,100
2017,PIT,10.5,-150,130
2017,SEA,10.5,-130,110
2017,SF,5.0,100,-120
2017,TB,8.5,-120,100
2017,TEN,9.0,-110,-110
2017,WAS,7.5,120,-140
2018,ARI,6.0,-130,110
2018,ATL,9.5,-120,100
2018,BAL,8.5,-120,100
2018,BUF,5.5,120,-140
2018,CAR,8.5,110,-130
2018,CHI,7.5,115,-135
2018,CIN,7.0,-135,115
2018,CLE,6.0,100,-120
2018,DAL,8.5,120,-140
2018,DEN,7.0,-180,150
2018,DET,7.5,-110,-110
2018,GB,10.0,-120,100
2018,HOU,8.5,-140,120
2018,IND,7.5,110,-130
2018,JAX,9.0,-130,110
2018,KC,8.5,115,-135
2018,LAC,9.5,-130,110
2018,LA,10.0,-130,110
2018,MIA,6.5,-140,120
2018,MIN,10.0,-140,120
2018,NE,11.0,-120,100
2018,NO,9.5,-140,120
2018,NYG,7.0,-140,120
2018,NYJ,6.0,110,-130
2018,OAK,7.5,120,-140
2018,PHI,10.5,130,-150
2018,PIT,10.5,125,-145
2018,SF,8.5,130,-150
2018,SEA,7.5,100,-120
2018,TB,6.5,130,-150
2018,TEN,8.0,-110,-110
2018,WAS,7.0,-130,110
2019,ARI,5.0,-120,100
2019,ATL,8.5,-140,120
2019,BAL,8.5,110,-130
2019,BUF,7.0,-140,120
2019,CAR,8.0,-130,110
2019,CHI,9.0,-140,120
2019,CIN,6.0,130,-150
2019,CLE,9.0,100,-120
2019,DAL,9.0,-110,-110
2019,DEN,7.0,-130,110
2019,DET,6.5,-150,130
2019,GB,9.0,-140,120
2019,HOU,8.5,-115,-105
2019,IND,7.5,-110,-110
2019,JAX,8.0,-110,-110
2019,KC,10.5,-130,110
2019,LAC,10.0,120,-140
2019,LA,10.5,125,-145
2019,MIA,4.5,100,-120
2019,MIN,9.0,-125,105
2019,NE,11.5,-110,-110
2019,NO,10.5,130,-150
2019,NYG,6.0,105,-125
2019,NYJ,7.5,-110,-110
2019,OAK,6.0,145,-170
2019,PHI,10.0,-150,130
2019,PIT,9.5,-110,-110
2019,SF,8.0,-140,120
2019,SEA,9.0,100,-120
2019,TB,6.5,-110,-110
2019,TEN,8.0,120,-140
2019,WAS,6.0,130,-150
2020,ARI,7.5,-120,-110
2020,ATL,7.5,-130,100
2020,BAL,11.5,-115,-115
2020,BUF,9.0,-140,110
2020,CAR,5.5,-110,-120
2020,CHI,8.5,130,-160
2020,CIN,5.5,-120,-110
2020,CLE,8.5,-135,105
2020,DAL,9.5,-115,125
2020,DEN,7.5,-135,105
2020,DET,6.5,-130,100
2020,GB,9.0,-125,0
2020,HOU,7.5,-110,-120
2020,IND,9.0,-125,-105
2020,JAX,4.5,-120,-110
2020,KC,11.5,-145,115
2020,LA,8.5,-105,-125
2020,LAC,7.5,-130,100
2020,LV,7.5,-105,-125
2020,MIA,6.5,-110,-120
2020,MIN,9.0,-105,-125
2020,NE,9.0,100,-130
2020,NO,10.5,-115,-115
2020,NYG,6.5,100,-130
2020,NYJ,7.0,-140,110
2020,PHI,9.5,-125,-105
2020,PIT,9.5,110,-140
2020,SEA,9.0,-140,110
2020,SF,10.5,-125,-105
2020,TB,9.5,-140,110
2020,TEN,8.5,-125,-105
2020,WAS,5.5,100,-130
